cid,strategy_id,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange,pool_type,tkn0_weight,tkn1_weight,tkn2_key,tkn2_address,tkn2_decimals,tkn2_symbol,tkn2_balance,tkn2_weight,tkn3_key,tkn3_address,tkn3_decimals,tkn3_symbol,tkn3_balance,tkn3_weight,tkn4_key,tkn4_address,tkn4_decimals,tkn4_symbol,tkn4_balance,tkn4_weight,tkn5_key,tkn5_address,tkn5_decimals,tkn5_symbol,tkn5_balance,tkn5_weight,tkn6_key,tkn6_address,tkn6_decimals,tkn6_symbol,tkn6_balance,tkn6_weight,tkn7_key,tkn7_address,tkn7_decimals,tkn7_symbol,tkn7_balance,tkn7_weight,y_0,y_1,z_0,z_1,A_0,A_1,B_0,B_1
,0,,0,uniswap_v2 AZUKI-BaEd/WETH-6Cc2 0.003,AZUKI-BaEd/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x654def3E97C3F4218C3f49ace81687483C361b2b,,0x910524678C0B1B23FFB9285a81f99C29C11CBaEd,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,AZUKI-BaEd,WETH-6Cc2,18,18,3.0,AZUKI,WETH,,,,,,,60.0,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,uniswap_v2 BabyDoge-460B/WETH-6Cc2 0.003,BabyDoge-460B/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x9886202AFD85a4ded704DEb370deE516EE558661,,0xAC57De9C1A09FeC648E93EB98875B212DB0d460B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BabyDoge-460B,WETH-6Cc2,9,18,3.0,BabyDoge,WETH,,,,,,,60.0,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,uniswap_v2 BABYDOGE-eBd5/WETH-6Cc2 0.003,BABYDOGE-eBd5/WETH-6Cc2,uniswap_v2,3000.0,0.003,0xaBa7AF37dBDC67b7463917e483B55340d153928A,,0xAC8E13ecC30Da7Ff04b842f21A62a1fb0f10eBd5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BABYDOGE-eBd5,WETH-6Cc2,9,18,3.0,BABYDOGE,WETH,,,,,,,60.0,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,uniswap_v2 BABYFD-C8e8/WETH-6Cc2 0.003,BABYFD-C8e8/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x212059B8f2aF87fF94557fa7FB5e32249Fc9bf8A,,0x747C4Ce9622EA750EA8048423B38A746B096C8e8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BABYFD-C8e8,WETH-6Cc2,9,18,,BABYFD,WETH,,,,,,,60.0,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,uniswap_v2 BabyGeke-Ea86/WETH-6Cc2 0.003,BabyGeke-Ea86/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x76A933a84b24843858276834DA294dDbf0c031B9,,0xb67AA502CD45B1e9373654AB41811A5Cb2B8Ea86,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BabyGeke-Ea86,WETH-6Cc2,9,18,,BabyGeke,WETH,,,,,,,60.0,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,uniswap_v2 BabyGEN-42f1/WETH-6Cc2 0.003,BabyGEN-42f1/WETH-6Cc2,uniswap_v2,3000.0,0.003,0xcb84085d9897597b82eD2e7aF67258C22C0F018e,,0xABC402fe699A03a735169B19f8b829191B8d42f1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BabyGEN-42f1,WETH-6Cc2,9,18,,BabyGEN,WETH,,,,,,,60.0,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,uniswap_v2 BABYGEN-9E40/WETH-6Cc2 0.003,BABYGEN-9E40/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x16061d80674fb4299E2559c8ee51205862D3A3C1,,0x9A7A7CE192e7F031aCBb458d9501FB174f809E40,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BABYGEN-9E40,WETH-6Cc2,9,18,,BABYGEN,WETH,,,,,,,60.0,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,uniswap_v2 BABYKAERU-97a7/WETH-6Cc2 0.003,BABYKAERU-97a7/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x409B9784969a664E03b2768dcC011B36a5fA5e85,,0xa6a39534a3AA04f09e7fd14D63F33BAFFBc197a7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BABYKAERU-97a7,WETH-6Cc2,18,18,,BABYKAERU,WETH,,,,,,,60.0,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,uniswap_v2 BABYPEPE-052A/WETH-6Cc2 0.003,BABYPEPE-052A/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x5b6A17d4E84B8D9b40EaaaE821Fc141d6158FE44,,0x5C559F3ee9A81Da83e069c0093471cB05D84052A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BABYPEPE-052A,WETH-6Cc2,18,18,,BABYPEPE,WETH,,,,,,,60.0,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,uniswap_v2 BabyShiba-1A1D/WETH-6Cc2 0.003,BabyShiba-1A1D/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x2e105b41cc05D7912Bd82d955B43dA22050C24d8,,0x66A64a8A9cdc54EF97e45a051bA1c8f3D4b41A1D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BabyShiba-1A1D,WETH-6Cc2,18,18,3.0,BabyShiba,WETH,,,,,,,60.0,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
