func_name,ncalls,tottime,cumtime
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 123, 'filter_pools')",13,6.998000000000001e-06,0.0029269580000000003
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 151, 'log_pool_numbers')",23,3.6662e-05,0.000992374
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 190, '<listcomp>')",1,2.4417e-05,0.002585084
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 198, '<listcomp>')",7,0.00035899900000000004,0.00035899900000000004
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 202, '<listcomp>')",1,0.139473125,0.139473125
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 208, '<listcomp>')",7,0.001250292,0.001250292
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 165, 'remove_zero_liquidity_pools')",1,2.9625000000000002e-05,0.144315625
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 221, '<listcomp>')",1,0.001248042,0.001248042
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 216, 'remove_unmapped_uniswap_v2_pools')",1,8.956e-06,0.311233291
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 238, '<listcomp>')",1,0.309487083,0.309487083
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 240, '<listcomp>')",1,0.00010104200000000001,0.00010104200000000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 244, '<listcomp>')",1,3.0500000000000003e-05,3.0500000000000003e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 248, '<listcomp>')",1,1.7875e-05,1.7875e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 235, 'log_umapped_pools_by_exchange')",1,9.835e-06,0.30988945900000003
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 275, 'cleanup_token_key')",10681,0.001268258,0.002152993
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 298, 'handle_token_key_cleanup')",1,0.0028395480000000003,0.004988458
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 333, '<listcomp>')",1,0.000160449,0.010662459
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 329, 'get_pool_data_with_tokens')",1,1.5410000000000002e-06,0.010664
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 358, '<dictcomp>')",1502,0.002870061,0.005081183
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 338, 'create_pool_and_tokens')",1502,0.003270116,0.01050201
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 402, 'get_tokens')",1,0.00044136500000000004,0.004185625
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 417, 'create_token')",3004,0.001426366,0.002653677
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 126, '__post_init__')",1502,0.000487419,0.000487419
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 138, 'to_cpc')",1502,0.0020299510000000003,0.069041672
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 158, '_params')",1712,0.000783961,0.000783961
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 172, '_other_to_cpc')",809,0.000894018,0.009575130000000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 248, 'decimal_converter')",420,0.000167848,0.000167848
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 203, '_carbon_to_cpc')",210,0.002013534,0.007015874
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 309, '_univ3_to_cpc')",483,0.0007164020000000001,0.043245828
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 348, 'convert_decimals')",1618,0.001542048,0.001542048
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 366, '<lambda>')",8613,0.0015267520000000001,0.0018599530000000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 367, '<dictcomp>')",1104,0.0008238550000000001,0.002683808
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 361, '_convert_to_float')",1104,0.000542716,0.003271496
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 48, 'from_dict')",483,0.00024078900000000001,0.034427913000000004
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 371, '__post_init__')",1574,0.003345245,0.007871136
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 82, '<dictcomp>')",483,0.021138820000000003,0.021138820000000003
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 76, '__post_init__')",483,0.002158245,0.033823455
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 114, 'pair')",483,6.928400000000001e-05,6.928400000000001e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 119, 'fee')",483,4.5513e-05,4.5513e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 124, 'ticksize')",1449,0.000133052,0.000133052
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 129, 'tickab')",483,0.000215319,0.00034837100000000004
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 135, 'tkn0dec')",2415,0.00014668300000000002,0.00014668300000000002
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 140, 'tkn1dec')",2415,0.000132094,0.000132094
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 145, 'papb_raw')",483,0.000129472,0.00047784300000000004
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 151, 'papb_tkn1_per_tkn0')",483,0.00020815900000000002,0.0010473750000000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 164, 'dec_factor_wei0_per_wei1')",1449,0.000364898,0.000526117
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 170, '_price_f')",483,0.00018646100000000002,0.00018646100000000002
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 175, 'price_tkn1_per_tkn0')",483,0.000150883,0.000502088
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 195, 'L')",483,0.00017033600000000002,0.000221761
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 247, 'cpc_params')",483,0.00069534,0.002624799
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 417, 'P')",82756,0.047224372,0.056822069
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 447, 'is_constant_product')",53776802,4.929367028000001,7.009876363
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 451, 'is_symmetric')",53776802,2.0805093350000003,2.0805093350000003
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 463, 'is_unlevered')",35638662,2.7931202770000003,3.8097375390000003
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 471, 'set_tokenscale')",291504,0.089681222,0.089681222
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 716, 'from_pkpp')",483,0.000383153,0.004622794
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 754, 'from_univ2')",809,0.000406809,0.004623124
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 808, 'from_univ3')",483,0.000309732,0.00519611
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 842, 'from_carbon')",295,0.000573176,0.002205883
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1035, 'tknb')",5679236,0.8948087990000001,1.314422588
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1042, 'tknq')",5715224,0.821965484,1.2079166650000002
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1049, 'tknbp')",69800,0.030109673000000003,0.094501546
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1056, 'tknqp')",69800,0.024034558,0.07922767
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1063, 'pairp')",69800,0.032425191,0.206154407
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1084, 'y')",16960273,2.6897534650000003,4.849649665
