address,decimals,symbol
0x704612f5Bf39585e6DF0954fB9815642C5AaFdBb,18,T-TCL
0x91122335d09a43b68443Bc51178d5929dcA3302A,18,T-TCL
0x757FD6CcdEE4E1E77922CcC5c63870Ce1207F82f,18,T-TCL
0x3fc87730bB60D23afCb351fa2bf1b1AfAa7eD985,18,T-TCL
0x5842d05B3F8e5790B6500DA3c23D55ffb1e42e3C,18,T-TCL
0xdD4BD78D7dcF5f946550562838163d426B6b7523,18,T-TCL
0x7400c707eC60B7c52DE702217FDfE5b19897F11D,18,T-TCL
0xF6606fdFbeCBC5615A2f81445a60608311df1fF6,18,T-TCL
0x88eeC49252c8cbc039DCdB394c0c2BA2f1637EA0,6,USDT
0xE3948c3AE04b4B34870B0DF88CC36A3ADF1FB9f5,18,T-TCL
0xa045D21ad8aDf8072ce3068910fbA6f24D8393EC,18,T-TCL
0x2A79e2224D18F9a6453bebEA32e9a35A92076728,18,T-TCL
0x072c355760f471Ddd11Cf5453283C52F51Fd5187,18,T-TCL
0xe2A9De4f7fF7C2Cb23AedE03495CD77f95E0b5d4,18,T-TCL
0x65D9e0408B3a92a66c0a3Fd1e0713128623D79F3,18,T-TCL
0x2Ab117aB8b8c92D43BD83B2359bdBF0f8dc5C5e9,18,T-TCL
0xac5dFBa3e3bA09d23847a223f1A1e29da6b63a7F,18,T-TCL
0x07a91BEF46344c7ea45a3F28d7D211FB645770F6,18,T-TCL
0x84fDCbDD4D8e8e7e565844AC51eab59fDBf6F4c3,18,T-TCL
0x7fFA3aFCDddc9dF85b0c948CC4e5Aa69A3a1F1fb,18,T-TCL
0x942267bE680E6543F42DECF54aF79b02FC4710c4,18,BKM
0x6A41b0ab46623D3044954016dC9A14aB010CC55D,18,T-TCL
0x7cb3fb5959dB1aB8b31E453Eaf19a25d6d4C2Ce0,18,T-TCL
0x19bdaDCAcb9b7a0595D9dDA595485f9Af589214C,18,BKM
0xc5A65D1A079F936A9c3B201be260D9886B75949A,18,T-TCL
0x25383211aD30b1e00C8d656911f960b6C5668327,18,T-cLA
0xc2F8AD32d6EA2b8363e30404aCf0584b4566a564,18,BKM
0x281dB61f54FeeE363c10Ab417819E8CD6bB1af9D,18,T-TCL
0x107035446FeE56c31e6C02BC0d6982A22CCBD146,18,cLA
0x13dA25fc16b6E7297b204b250f0ddFFAC4F344c4,18,T-cLA
0xF9b0B7c36B6d20c4EDE79704548273C23464a264,18,cLA
0xF0a66cf971C6d5e765F05A275FD3E09d25610747,18,tDev-Celo
0xDa28ca613faC4ad75dFF43dA2D0613938C633e8C,18,tDev-C
0x75BB7366014EfBdFAD02067F8029Bf76d79a26af,18,cLA
0x5927fd244E11dB1c7b1215619144d2aAbAc80a4F,18,cLA
0x832F03bCeE999a577cb592948983E35C048B5Aa4,18,cXOF
0x0459E552a807312CC54A1286978De579409624F4,18,cLA
0x8720603f8B21B14207208Bb29D27191a45B23fd4,18,cLA
0xc63C3243601E038286a82c0f97F47BF20f2f1b82,18,cMETA
0x20677d4f3d0F08e735aB512393524A3CfCEb250C,18,ARI
0x50359e800aCde1D93BB673E235Bafb86D0846c14,18,ORANGE
0xd2aC99BaFC5CeB9b0295fB4ff23Ec2592a90113d,18,ORA
0x7ee660B4A390542c0DE83E9EB5B07A87631D197f,18,TYSON
0xF3608F846cA73147F08FdE8D57f45E27CeEA4d61,18,cMETA
0x897D662727Dc13e4E77fAfeAe48dab43b34F0E54,18,tMT
0x30293839E2bB5aDE1719977fa5b6EE62aA413DB2,9,cDOGEx
0xD9a7294c554D2112319810b8E64139AC4DdD4322,18,VISHAL
0x97a6EcDbDdf85BF155Abe2b5d68E061C43afFd7C,10,TOR
0x1B6d89338CDd4ca156057cAaADe399c5183a77d1,18,VXB
0xCf153fC756D062bc6c8F0712c4E8c348ca9Be214,9,XMN
0x6162488911CC12c5B801Eb9332Fc6defe9cc2E11,9,CLG
0x42d0A49065Db8cdB2502782F1daF2eA8453FF850,18,PC
0xAc19994Ce62cDAA187BbbF808786159e7334664a,18,SOKA
0xA649325Aa7C5093d12D6F98EB4378deAe68CE23F,18,BNB
0x5c68fB7B31D4B0d0208D75057fbdcCc949531f59,18,SDA
0x94ab1d8fa678D1481508A17B3b9Aa6A4166F979E,9,CLG
0x8f3e812f74CCecADDb60f289C153551D63cCe94c,9,MCelo
0x4cb70De91e6Bb85fB132880D5Af3418477a90083,9,KGA
0xE9dC987b939A7B33270e56532297Cf82716c79A3,18,BTCBR
0xd6c56A9b281307259e425fA53485A09D2954e9B7,18,BabyCelo
