address,exchange
0x0129dE7Ee8EfF2B3d89FDf5016af47a404898Df2,sushiswap_v2
0x012b714b95DE7573050A039EFBaB934C42Ca7BEA,sushiswap_v2
0x01b6F07Cda487fd05E1d9f7d89DdaECde72329f7,sushiswap_v2
0x02F726B5E819eCF33aA93be5274c94a22Df3619f,sushiswap_v2
0x02cB40E50f48Bdf2403aEF2fbF60e2c53D29485d,sushiswap_v2
0x03037527E9c1616E04d8e67587007436Ba26631B,sushiswap_v2
0x03f548FA3B3e04d4bC5aDd5C055fEeCD225496Ce,sushiswap_v2
0x04E34632f7a500f8CAAEC792DeF13D4612BfBDF9,sushiswap_v2
0x04feDF75A1a84DcF20c58F29375A57B361987Da5,sushiswap_v2
0x073f65E554b8C405C25D6FD06ad0c0D5813E0cF4,sushiswap_v2
0x07B877348a24b901Ca489Dc5fE9c728447A3F1dA,sushiswap_v2
0x0A37884f4bc76dFFe4Dd25b90eE7B50fc693DFDf,sushiswap_v2
0x0BfE05c8C7963Ef2e531DC2aB5b615300b690b5c,sushiswap_v2
0x0C665739075B8de9C6effAe1196B172d96F9DEdd,sushiswap_v2
0x0CDb74afD29244ee777a7f935e4FAe46f3Cd54C7,sushiswap_v2
0x0D7738EF8eF70040EA28Aa474aF8594E1e6F0134,sushiswap_v2
0x0F4d29a28E2b07D6d553B541bFEc81753389FA54,sushiswap_v2
0x0b655E7D966CB27998af94AA5719ab7BFe07D3b3,sushiswap_v2
0x11022f5bD4B65DdC7f03283c8BDDa2fc941A3f71,sushiswap_v2
0x121dB03D3997EFe877Ef27B598c9433D7C122ef0,sushiswap_v2
0x123C934dAA60A059174230395eADc27d6F1668a2,sushiswap_v2
0x136bb12fB30D6DEc5d9e1e1D9A7d96623bA9C873,sushiswap_v2
0x14171bEE940166c6d161AED3c8B967F1fB3805f2,sushiswap_v2
0x156F2A3aFc3acf1e110824E50D7220C4846c1467,sushiswap_v2
0x1afB436b50A24d882dD924718D5374f92946775f,sushiswap_v2
0x1eab7Fb2FcBc01415A5a75d0cfdAf110124d2766,sushiswap_v2
0x201F26Bcb5De606eBf7B82299d8927346BeCf8f0,sushiswap_v2
0x2145A17a0AC3Cd24c107F8D925485f95f1A1c6fA,sushiswap_v2
0x217b1Ab2609C8B839B07871a2B02e579C2Ff3136,sushiswap_v2
0x2413373D74e792D928D98620b0BE4B247A4EA4D8,sushiswap_v2
0x251E989214B042D2297892bBdF1f53E59df4C1f3,sushiswap_v2
0x25B2CFE40157347d64bFC043Ec7Ae3E357E6BEe3,sushiswap_v2
0x28628711b566DEf8152B36F1DF64c07c6b1259bE,sushiswap_v2
0x292dCC6B0200eeEcab51DE1f6b020eEd3c8B66d9,sushiswap_v2
