address,exchange
0x00F739A79e143dfD1F43366bFC8710a759F42cEF,uniswap_v3
0x0115d04a88990889471a88e85817aAC9e961c07b,uniswap_v3
0x0312187403bf72b8d2d80729894d6Ac3300bd63F,uniswap_v3
0x03619d9737864CCf43fbDF8e25d1277DA63DA768,uniswap_v3
0x03d70Bf9E6AFBf8CAC09EF0C45F9A00a841c2beD,uniswap_v3
0x045789C18Af18423e04b5aBD60b9D45164F4d969,uniswap_v3
0x05ae2e8F56d9CCEcc2bB2983e0da80F135bE907b,uniswap_v3
0x05cb35c5314e208598d7024f253C9Ff9bdA0b4a8,uniswap_v3
0x05efB437e4e97EfEa6450321eca8d7585A731369,uniswap_v3
0x065c22A16f6531706681FaBBC8df135Fe6Eb1C2e,uniswap_v3
0x06b423E85e935aB3f026EeE5dBfd297F4A193941,uniswap_v3
0x0782614772D99c575DEe14DBCB9C4B79EA3cBDCE,uniswap_v3
0x079e7A44F42E9cd2442C3B9536244be634e8f888,uniswap_v3
0x094298648c89157c5fFF26DBa30147d3f0eAC9E0,uniswap_v3
0x098dd98f215dB01327D47eB4211bDF10D84E581f,uniswap_v3
0x0A92D5C377cFB80B329fE182238ea9d6AcE8703d,uniswap_v3
0x0Ad75c963d0E059884b7d7674D16656fC17c8b2c,uniswap_v3
0x0BB37f7Cc82dFd48411014391c0A4d9c877Fe22c,uniswap_v3
0x0C4F9249c6908897c57d8eD82d3902955F9cC487,uniswap_v3
0x0DBb0769B00d01d241BA4F7B2891fB5C2A975D51,uniswap_v3
0x0E166A5F671f8B357A52d853A27F963FCEC21Cc7,uniswap_v3
0x0Ed413cEfdE954D8E5C54d981d7d182B587E98e3,uniswap_v3
0x0F38Fe51216a859bFF11154d02dcE8f34482BcF4,uniswap_v3
0x0aA7Ab6aba2Fa93e7d346E8325A841947527D968,uniswap_v3
0x0b2b8EF02736e099974D0F0D8dC951D3A7C7c941,uniswap_v3
0x0c9E7bfCa2b4b47f501B69fe3DA413c3213f82c5,uniswap_v3
0x0cE2D127df89334974FDb22716d702819Fd59bdc,uniswap_v3
