address,decimals,symbol
0x374Ad0f47F4ca39c78E5Cc54f1C9e426FF8f231A,18,PREMIA
0xB0ae108669CEB86E9E98e8fE9e40d98b867855fD,18,RING
0xd3Ac016b1B8C80EeAdDe4D186A9138C9324e4189,18,OK
0xbfD291DA8A403DAAF7e5E9DC1ec0aCEaCd4848B9,18,USX
0x8aE125E8653821E851F12A49F7765db9a9ce7384,18,DOLA
0x74ccbe53F77b08632ce0CB91D3A545bF6B8E0979,18,BOMB
0x9Bcef72be871e61ED4fBbc7630889beE758eb81D,18,RETH
0x15e770B95Edd73fD96b02EcE0266247D50895E76,18,JRT
0x7f5373AE26c3E8FfC4c77b7255DF7eC1A9aF52a6,6,AXLUSDT
0x1e3c6c53F9f60BF8aAe0D7774C21Fa6b1afddC57,18,XSHRAP
0xd652776dE7Ad802be5EC7beBfafdA37600222B48,18,SLM
0xaf8cA653Fa2772d58f4368B0a71980e9E3cEB888,18,TRB
0x47536F17F4fF30e64A96a7555826b8f9e66ec468,18,MMY
0x6806411765Af15Bddd26f8f544A34cC40cb9838B,18,FRXETH
0xB153FB3d196A8eB25522705560ac152eeEc57901,18,MIM
0x484c2D6e3cDd945a8B2DF735e079178C1036578c,18,SFRXETH
0x3A18dcC9745eDcD1Ef33ecB93b0b6eBA5671e7Ca,6,KUJI
0xfD389Dc9533717239856190F42475d3f263a270d,18,GRAIN
0xdC6fF44d5d932Cbd77B52E5612Ba0529DC6226F1,18,WLD
0xC27D9BC194a648fE3069955a5126699C4e49351C,18,AMKT
0xdb4eA87fF83eB1c80b8976FC47731Da6a31D35e5,18,WTBT
0xd3594E879B358F430E20F82bea61e83562d49D48,18,PSP
0x929B939f8524c3Be977af57A4A0aD3fb1E374b50,18,MTA
0x9ed7E4B1BFF939ad473dA5E7a218C771D1569456,6,REUNI
0xF1a0DA3367BC7aa04F8D94BA57B862ff37CeD174,18,FOX
0xBC7B1Ff1c6989f006a1185318eD4E7b5796e66E1,18,PENDLE
0xB25EA095997F5bBaa6cEa962c4fBf3bfc3C09776,9,FIRE
0xEB466342C4d449BC9f53A865D5Cb90586f405215,6,AXLUSDC
0xFE8B128bA8C78aabC59d4c64cEE7fF28e9379921,18,BAL
0x76FB31fb4af56892A25e32cFC43De717950c9278,18,AAVE
0xf899e3909B4492859d44260E1de41A9E663e70F5,18,RADIO
0x5A5fFf6F753d7C11A56A52FE47a177a87e431655,18,SYN
0x6F620EC89B8479e97A6985792d0c64F237566746,18,WPC
0xAF9fE3B5cCDAe78188B1F8b9a49Da7ae9510F151,18,DHT
0x375488F097176507e39B9653b88FDc52cDE736Bf,18,TAROT
0xEe9801669C6138E84bD50dEB500827b776777d28,18,O3
0x10010078a54396F62c96dF8532dc2B4847d47ED3,18,HND
0x50Bce64397C75488465253c0A034b8097FeA6578,18,HAN
0x00F932F0FE257456b32dedA4758922E56A4F4b42,18,PAPER
0xa00E3A3511aAC35cA78530c85007AFCd31753819,18,KNC
0xFdb794692724153d1488CcdBE0C56c252596735F,18,LDO
0x6fd9d7AD17242c41f7131d257212c54A0e816691,18,UNI
0x8c6f28f2F1A3C87F0f938b96d27520d9751ec8d9,18,SUSD
0x8700dAec35aF8Ff88c16BdF0418774CB3D7599B4,18,SNX
0xe0BB0D3DE8c10976511e5030cA403dBf4c25165B,8,0XBTC
0xe3C332a5DcE0e1d9bC2cC72A68437790570C28a4,18,VEE
0x8F69Ee043d52161Fd29137AeDf63f5e70cd504D5,18,DOG
0x4200000000000000000000000000000000000006,18,WETH
0x1da650C3B2DaA8AA9Ff6F661d4156Ce24d08A062,0,DCN
