cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange,pool_type,tkn0_weight,tkn1_weight,tkn2_address,tkn2_decimals,tkn2_symbol,tkn2_balance,tkn2_weight,tkn3_address,tkn3_decimals,tkn3_symbol,tkn3_balance,tkn3_weight,tkn4_address,tkn4_decimals,tkn4_symbol,tkn4_balance,tkn4_weight,tkn5_address,tkn5_decimals,tkn5_symbol,tkn5_balance,tkn5_weight,tkn6_address,tkn6_decimals,tkn6_symbol,tkn6_balance,tkn6_weight,tkn7_address,tkn7_decimals,tkn7_symbol,tkn7_balance,tkn7_weight
0x30905F2a6A7f48B6643c399b67EF38d4ab47cAfA,,18219770,uniswap_v3 0x4200000000000000000000000000000000000042/0xab7bAdEF82E9Fe11f6f33f87BC9bC2AA27F2fCB 10000,0x4200000000000000000000000000000000000042/0xab7bAdEF82E9Fe11f6f33f87BC9bC2AA27F2fCB,uniswap_v3,10000.0,0.01,0x30905F2a6A7f48B6643c399b67EF38d4ab47cAfA,,0x4200000000000000000000000000000000000042,0xab7bAdEF82E9Fe11f6f33f87BC9bC2AA27F2fCB5,18,18,4,OP,MKR,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x83e4aeF9721A7c72E5B69Ed14b2a1EBd5174ce56,,18223717,uniswap_v3 0x10010078a54396F62c96dF8532dc2B4847d47ED3/0x420000000000000000000000000000000000004 10000,0x10010078a54396F62c96dF8532dc2B4847d47ED3/0x420000000000000000000000000000000000004,uniswap_v3,10000.0,0.01,0x83e4aeF9721A7c72E5B69Ed14b2a1EBd5174ce56,,0x10010078a54396F62c96dF8532dc2B4847d47ED3,0x4200000000000000000000000000000000000042,18,18,4,HND,OP,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xc56B2BEF865893DA71Dd95150313DbadF659f4f3,,18309998,uniswap_v3 0x4200000000000000000000000000000000000006/0x420000000000000000000000000000000000004 100,0x4200000000000000000000000000000000000006/0x420000000000000000000000000000000000004,uniswap_v3,100.0,0.0001,0xc56B2BEF865893DA71Dd95150313DbadF659f4f3,,0x4200000000000000000000000000000000000006,0x4200000000000000000000000000000000000042,18,18,4,WETH,OP,0,0,0,0,0,0,1,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x93C1BfC25209CB45E234aB85624ac87DE7c3Fb15,,18329806,uniswap_v3 0x76FB31fb4af56892A25e32cFC43De717950c9278/0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da 10000,0x76FB31fb4af56892A25e32cFC43De717950c9278/0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da,uniswap_v3,10000.0,0.01,0x93C1BfC25209CB45E234aB85624ac87DE7c3Fb15,,0x76FB31fb4af56892A25e32cFC43De717950c9278,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,18,18,4,AAVE,DAI,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5eC892F21feA19F4b458c02aD52F75e9b5C9B2Ee,,18331519,uniswap_v3 0x76FB31fb4af56892A25e32cFC43De717950c9278/0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da 3000,0x76FB31fb4af56892A25e32cFC43De717950c9278/0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da,uniswap_v3,3000.0,0.003,0x5eC892F21feA19F4b458c02aD52F75e9b5C9B2Ee,,0x76FB31fb4af56892A25e32cFC43De717950c9278,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,18,18,4,AAVE,DAI,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xE1670960EBafa0d55567e72924dCF774160770df,,18360162,uniswap_v3 0x7F5c764cBc14f9669B88837ca1490cCa17c31607/0x9A45Dc286b8B9e1429a312220685529E6a32702 3000,0x7F5c764cBc14f9669B88837ca1490cCa17c31607/0x9A45Dc286b8B9e1429a312220685529E6a32702,uniswap_v3,3000.0,0.003,0xE1670960EBafa0d55567e72924dCF774160770df,,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,0x9A45Dc286b8B9e1429a312220685529E6a32702C,6,18,4,USDCE,MyErc20,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x6Fcb3B6EccBA19693FAdE13366b5aA0dA37ee43F,,18373797,uniswap_v3 0x4200000000000000000000000000000000000006/0xb20d84ebFeCdC6821448C7094564a039F0AE5EA 10000,0x4200000000000000000000000000000000000006/0xb20d84ebFeCdC6821448C7094564a039F0AE5EA,uniswap_v3,10000.0,0.01,0x6Fcb3B6EccBA19693FAdE13366b5aA0dA37ee43F,,0x4200000000000000000000000000000000000006,0xb20d84ebFeCdC6821448C7094564a039F0AE5EA4,18,18,4,WETH,FIRN,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x6ECb7D18aBDa6aE794035490A4dEcC329D0f23BB,,18387721,uniswap_v3 0x8c6f28f2F1A3C87F0f938b96d27520d9751ec8d9/0x94b008aA00579c1307B0EF2c499aD98a8ce58e5 100,0x8c6f28f2F1A3C87F0f938b96d27520d9751ec8d9/0x94b008aA00579c1307B0EF2c499aD98a8ce58e5,uniswap_v3,100.0,0.0001,0x6ECb7D18aBDa6aE794035490A4dEcC329D0f23BB,,0x8c6f28f2F1A3C87F0f938b96d27520d9751ec8d9,0x94b008aA00579c1307B0EF2c499aD98a8ce58e58,18,6,4,SUSD,USDT,0,0,0,0,0,0,1,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xdC901FAe791024d65Fc9720A70f1a5f9200D23A3,,18390733,uniswap_v3 0x4200000000000000000000000000000000000006/0xc40F949F8a4e094D1b49a23ea9241D289B7b281 3000,0x4200000000000000000000000000000000000006/0xc40F949F8a4e094D1b49a23ea9241D289B7b281,uniswap_v3,3000.0,0.003,0xdC901FAe791024d65Fc9720A70f1a5f9200D23A3,,0x4200000000000000000000000000000000000006,0xc40F949F8a4e094D1b49a23ea9241D289B7b2819,18,18,4,WETH,LUSD,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x71BE275327A7F08ABB9cAd45164309597D3d30d1,,18418689,uniswap_v3 0x0ec2281976E0Cfc35e5A6b8a77E53dCf78509Be2/0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da 500,0x0ec2281976E0Cfc35e5A6b8a77E53dCf78509Be2/0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da,uniswap_v3,500.0,0.0005,0x71BE275327A7F08ABB9cAd45164309597D3d30d1,,0x0ec2281976E0Cfc35e5A6b8a77E53dCf78509Be2,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,18,18,4,RTKN,DAI,0,0,0,0,0,0,10,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xEFdCDD1CAB842197CFD4cBad1C1F75705493Fab1,,18419507,uniswap_v3 0x1532223109c3a1A818D8Da5ab4e54cd7a9E9bAC6/0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da 500,0x1532223109c3a1A818D8Da5ab4e54cd7a9E9bAC6/0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da,uniswap_v3,500.0,0.0005,0xEFdCDD1CAB842197CFD4cBad1C1F75705493Fab1,,0x1532223109c3a1A818D8Da5ab4e54cd7a9E9bAC6,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,18,18,4,RTKN,DAI,0,0,0,0,0,0,10,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xBDcB4556101fE12BA7ec2d1210Ea934B5Fe28e36,,18469803,uniswap_v3 0x7F5c764cBc14f9669B88837ca1490cCa17c31607/0x8382a7F56cf362144c1A6553aE298Dc692EcCD1 10000,0x7F5c764cBc14f9669B88837ca1490cCa17c31607/0x8382a7F56cf362144c1A6553aE298Dc692EcCD1,uniswap_v3,10000.0,0.01,0xBDcB4556101fE12BA7ec2d1210Ea934B5Fe28e36,,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,0x8382a7F56cf362144c1A6553aE298Dc692EcCD15,6,18,4,USDCE,pe,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x1f8F73369CE4aF255cca7f6C7937db53F0cfBFF6,,18470483,uniswap_v3 0x7F5c764cBc14f9669B88837ca1490cCa17c31607/0x8382a7F56cf362144c1A6553aE298Dc692EcCD1 500,0x7F5c764cBc14f9669B88837ca1490cCa17c31607/0x8382a7F56cf362144c1A6553aE298Dc692EcCD1,uniswap_v3,500.0,0.0005,0x1f8F73369CE4aF255cca7f6C7937db53F0cfBFF6,,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,0x8382a7F56cf362144c1A6553aE298Dc692EcCD15,6,18,4,USDCE,pe,0,0,0,0,0,0,10,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xa95ac4184b0962f5BB889Af9Ca69c23993Fa681e,,18478262,uniswap_v3 0x4200000000000000000000000000000000000006/0x6AF3cb766D6cd37449bfD321D961A61B0515c1B 10000,0x4200000000000000000000000000000000000006/0x6AF3cb766D6cd37449bfD321D961A61B0515c1B,uniswap_v3,10000.0,0.01,0xa95ac4184b0962f5BB889Af9Ca69c23993Fa681e,,0x4200000000000000000000000000000000000006,0x6AF3cb766D6cd37449bfD321D961A61B0515c1BC,18,18,4,WETH,OS,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2bc95f14FF09Fafaf5522d1D2451da27DC7D46Bc,,18512018,uniswap_v3 0x68f180fcCe6836688e9084f035309E29Bf0A2095/0x85f6583762Bc76d775eAB9A7456db344f12409F 100,0x68f180fcCe6836688e9084f035309E29Bf0A2095/0x85f6583762Bc76d775eAB9A7456db344f12409F,uniswap_v3,100.0,0.0001,0x2bc95f14FF09Fafaf5522d1D2451da27DC7D46Bc,,0x68f180fcCe6836688e9084f035309E29Bf0A2095,0x85f6583762Bc76d775eAB9A7456db344f12409F7,8,8,4,WBTC,renBTC,0,0,0,0,0,0,1,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
