cid,strategy_id,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange,pool_type,tkn0_weight,tkn1_weight,tkn2_address,tkn2_decimals,tkn2_symbol,tkn2_balance,tkn2_weight,tkn3_address,tkn3_decimals,tkn3_symbol,tkn3_balance,tkn3_weight,tkn4_address,tkn4_decimals,tkn4_symbol,tkn4_balance,tkn4_weight,tkn5_address,tkn5_decimals,tkn5_symbol,tkn5_balance,tkn5_weight,tkn6_address,tkn6_decimals,tkn6_symbol,tkn6_balance,tkn6_weight,tkn7_address,tkn7_decimals,tkn7_symbol,tkn7_balance,tkn7_weight,y_0,y_1,z_0,z_1,A_0,A_1,B_0,B_1
0xF1bd068E36AD965D64960e7608060d7b73EB9958,0,,50112753,hyperjump_v2 0x74c3A16bc8bf3cF04eD23287E803A4971D645300/0xC8A279ba2205D51fEe03Ae1a9AD715BD9D43b680,0x74c3A16bc8bf3cF04eD23287E803A4971D645300/0xC8A279ba2205D51fEe03Ae1a9AD715BD9D43b680,hyperjump_v2,0.002,0.002,0xF1bd068E36AD965D64960e7608060d7b73EB9958,,0x74c3A16bc8bf3cF04eD23287E803A4971D645300,0xC8A279ba2205D51fEe03Ae1a9AD715BD9D43b680,9,9,3,XPT,VNDF,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0c4F9A644efE2397b250472acb26bFAe1a0CAc58,0,,50113236,hyperjump_v2 0xC8A279ba2205D51fEe03Ae1a9AD715BD9D43b680/0xE92906CdC5Fac2e9774da3b3C2A9D18b6030d9a8,0xC8A279ba2205D51fEe03Ae1a9AD715BD9D43b680/0xE92906CdC5Fac2e9774da3b3C2A9D18b6030d9a8,hyperjump_v2,0.002,0.002,0x0c4F9A644efE2397b250472acb26bFAe1a0CAc58,,0xC8A279ba2205D51fEe03Ae1a9AD715BD9D43b680,0xE92906CdC5Fac2e9774da3b3C2A9D18b6030d9a8,9,9,3,VNDF,USDF,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x70B79a86b8c64E5A40D5D2632ffBF62e017eaF4c,0,,50351662,hyperjump_v2 0x24B2956f661137DbE4ddf558A46336dfC795f05E/0xC8A279ba2205D51fEe03Ae1a9AD715BD9D43b680,0x24B2956f661137DbE4ddf558A46336dfC795f05E/0xC8A279ba2205D51fEe03Ae1a9AD715BD9D43b680,hyperjump_v2,0.002,0.002,0x70B79a86b8c64E5A40D5D2632ffBF62e017eaF4c,,0x24B2956f661137DbE4ddf558A46336dfC795f05E,0xC8A279ba2205D51fEe03Ae1a9AD715BD9D43b680,9,9,3,4FT,VNDF,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xc652a9B725b120aa6dda1608c332A6570cAB2bE2,0,,50351704,hyperjump_v2 0x24B2956f661137DbE4ddf558A46336dfC795f05E/0xE92906CdC5Fac2e9774da3b3C2A9D18b6030d9a8,0x24B2956f661137DbE4ddf558A46336dfC795f05E/0xE92906CdC5Fac2e9774da3b3C2A9D18b6030d9a8,hyperjump_v2,0.002,0.002,0xc652a9B725b120aa6dda1608c332A6570cAB2bE2,,0x24B2956f661137DbE4ddf558A46336dfC795f05E,0xE92906CdC5Fac2e9774da3b3C2A9D18b6030d9a8,9,9,3,4FT,USDF,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x3D0Bca1C9c22c2fCDD56e6FeDf9D5a17417Ec597,0,,50351736,hyperjump_v2 0x24B2956f661137DbE4ddf558A46336dfC795f05E/0x74c3A16bc8bf3cF04eD23287E803A4971D645300,0x24B2956f661137DbE4ddf558A46336dfC795f05E/0x74c3A16bc8bf3cF04eD23287E803A4971D645300,hyperjump_v2,0.002,0.002,0x3D0Bca1C9c22c2fCDD56e6FeDf9D5a17417Ec597,,0x24B2956f661137DbE4ddf558A46336dfC795f05E,0x74c3A16bc8bf3cF04eD23287E803A4971D645300,9,9,3,4FT,XPT,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5574db13ad4BD47a9d99c84eDd356280F3eFe6A8,0,,50351789,hyperjump_v2 0x08Edef364e0D95EaD43432211fdD4e09605AC6B0/0x24B2956f661137DbE4ddf558A46336dfC795f05E,0x08Edef364e0D95EaD43432211fdD4e09605AC6B0/0x24B2956f661137DbE4ddf558A46336dfC795f05E,hyperjump_v2,0.002,0.002,0x5574db13ad4BD47a9d99c84eDd356280F3eFe6A8,,0x08Edef364e0D95EaD43432211fdD4e09605AC6B0,0x24B2956f661137DbE4ddf558A46336dfC795f05E,9,9,3,DNT,4FT,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x23d7aE065d87492F88E412fcadd9668CF185FAB1,0,,50351875,hyperjump_v2 0x24B2956f661137DbE4ddf558A46336dfC795f05E/0x2dB1bAF757cDE8eCCD6D8cC4A9Bee1cb9783AfB2,0x24B2956f661137DbE4ddf558A46336dfC795f05E/0x2dB1bAF757cDE8eCCD6D8cC4A9Bee1cb9783AfB2,hyperjump_v2,0.002,0.002,0x23d7aE065d87492F88E412fcadd9668CF185FAB1,,0x24B2956f661137DbE4ddf558A46336dfC795f05E,0x2dB1bAF757cDE8eCCD6D8cC4A9Bee1cb9783AfB2,9,9,3,4FT,BNT,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x60017207D3610947DdB337e07736eEbD4cb58661,0,,51179875,hyperjump_v2 0x01f215C71eC138304454DAC82D39696DA03e73F4/0xDd3bA442A9539652d78019e76bf710597D317E0d,0x01f215C71eC138304454DAC82D39696DA03e73F4/0xDd3bA442A9539652d78019e76bf710597D317E0d,hyperjump_v2,0.002,0.002,0x60017207D3610947DdB337e07736eEbD4cb58661,,0x01f215C71eC138304454DAC82D39696DA03e73F4,0xDd3bA442A9539652d78019e76bf710597D317E0d,9,9,3,VNDP,PARA,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xe6359fA42faCF67Ea16e946d555222CAab0700ca,0,,51180055,hyperjump_v2 0x7dEca69757658c6D51fd44870C9a9ed5aE39b8e9/0xDd3bA442A9539652d78019e76bf710597D317E0d,0x7dEca69757658c6D51fd44870C9a9ed5aE39b8e9/0xDd3bA442A9539652d78019e76bf710597D317E0d,hyperjump_v2,0.002,0.002,0xe6359fA42faCF67Ea16e946d555222CAab0700ca,,0x7dEca69757658c6D51fd44870C9a9ed5aE39b8e9,0xDd3bA442A9539652d78019e76bf710597D317E0d,9,9,3,USP,PARA,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5A82FDE118f5CA3864F922796f5064611a1cec87,0,,51180125,hyperjump_v2 0x01f215C71eC138304454DAC82D39696DA03e73F4/0x7dEca69757658c6D51fd44870C9a9ed5aE39b8e9,0x01f215C71eC138304454DAC82D39696DA03e73F4/0x7dEca69757658c6D51fd44870C9a9ed5aE39b8e9,hyperjump_v2,0.002,0.002,0x5A82FDE118f5CA3864F922796f5064611a1cec87,,0x01f215C71eC138304454DAC82D39696DA03e73F4,0x7dEca69757658c6D51fd44870C9a9ed5aE39b8e9,9,9,3,VNDP,USP,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
