id,key,symbol,name,address,decimals
50,RNB-e743,RNB,Rentible,0x2A039B1D9bBDccBb91be28691b730ca893e5e743,18
51,RLC-7375,RLC,iEx.ec Network Token,0x607F4C5BB672230e8672085532f7e901544a7375,9
52,REQ-938a,REQ,Request Token,0x8f8221aFbB33998d8584A2B05749bA73c37a938a,18
53,REN-2a38,REN,Republic Token,0x408e41876cCCDC0F92210600ef50372656052a38,18
54,RARI-41CF,RARI,Rarible,0xFca59Cd816aB1eaD66534D82bc21E7515cE441CF,18
55,PHTR-22dA,PHTR,Phuture,0xE1Fc4455f62a6E89476f1072530C20CF1A0622dA,18
56,OPIUM-eC11,OPIUM,Opium Governance Token,0x888888888889C00c67689029D7856AAC1065eC11,18
57,NMR-6671,NMR,Numeraire,0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671,18
58,NDX-5F83,NDX,Indexed,0x86772b1409b61c639EaAc9Ba0AcfBb6E238e5F83,18
59,MPH-35C5,MPH,88mph.app,0x8888801aF4d980682e47f1A9036e589479e835C5,18
60,ZCN-3B78,ZCN,0chain,0xb9EF770B6A5e12E45983C5D80545258aA38F3B78,10
61,LRC-EafD,LRC,LoopringCoin V2,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,18
62,CROWN-E0fa,CROWN,Crown Capital,0x444d6088B0F625f8C20192623B3C43001135E0fa,18
63,DAPP-1649,DAPP,DAPP TOKEN,0x939B462ee3311f8926c047D2B576C389092b1649,4
64,AMP-95C2,AMP,Amp,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,18
65,ANKR-EDD4,ANKR,Ankr Network,0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4,18
66,APW-60c8,APW,APWine Token,0x4104b135DBC9609Fc1A9490E61369036497660c8,18
67,ARCONA-52B3,ARCONA,Arcona Distribution Contract,0x0f71B8De197A1C84d31de0F1fA7926c365F052B3,18
68,ARMOR-E46a,ARMOR,Armor,0x1337DEF16F9B486fAEd0293eb623Dc8395dFE46a,18
69,AUC-5663,AUC,Auctus Token,0xc12d099be31567add4e4e4d0D45691C3F58f5663,18
70,BBS-B430,BBS,BBS,0xFe459828c90c0BA4bC8b42F5C5D44F316700B430,18
71,BORING-92CA,BORING,BoringDAO,0xBC19712FEB3a26080eBf6f2F7849b417FdD792CA,18
72,COMP-6888,COMP,Compound,0xc00e94Cb662C3520282E6f5717214004A7f26888,18
73,DIP-cD83,DIP,Decentralized Insurance Protocol,0xc719d010B63E5bbF2C0551872CD5316ED26AcD83,18
74,ACRE-FC21,ACRE,Arable Protocol,0xb2cABf797bc907B049e4cCB5b84d13be3a8CFC21,18
75,EDEN-1559,EDEN,Eden Back Inu,0x1559FA1b8F28238FD5D76D9f434ad86FD20D1559,18
76,eRSDL-D3A6,eRSDL,UnFederalReserveToken,0x5218E472cFCFE0b64A064F055B43b4cdC9EfD3A6,18
77,HEGIC-8430,HEGIC,Hegic,0x584bC13c7D411c00c01A62e8019472dE68768430,18
78,HOT-26E2,HOT,HoloToken,0x6c6EE5e31d828De241282B9606C8e98Ea48526E2,18
79,ICHI-A881,ICHI,ichi.farm,0x903bEF1736CDdf2A537176cf3C64579C3867A881,9
80,IDLE-D39e,IDLE,Idle,0x875773784Af8135eA0ef43b5a374AaD105c5D39e,18
81,INDEX-4cab,INDEX,Index,0x0954906da0Bf32d5479e25f46056d22f08464cab,18
82,KTN-FC1C,KTN,Kattana,0x491E136FF7FF03E6aB097E54734697Bb5802FC1C,18
83,LPL-75B8,LPL,LinkPool,0x99295f1141d58A99e939F7bE6BBe734916a875B8,18
84,SHIBGF-65d6,SHIBGF,SHIBGF,0x505a84a03e382331A1Be487b632Cf357748b65d6,18
85,I-2897,I,I,0x7c6B16b538cdA7263528Fe95cC8dfda7b9532897,18
86,WETH-6Cc2,WETH,Wrapped Ether,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
87,ARTSTIC-B7F9,ARTSTIC,ArtsTic,0xDA765bBB587A4454789AfdC953Ae26b4E069B7F9,18
88,FIND-8E0a,FIND,find,0x2F9CAB5e879330Ac548A8EE9375C896Ff37b8E0a,18
89,MingBi-9dB9,MingBi,AncestorMoney,0x613d1d9Eb0E3c34EB7D70aC1a10e14ac391b9dB9,0
90,HMB-A68A,HMB,Highness Metro Bit,0x76165106bbcD58C88468C48907a5bc2529a5A68A,18
91,HMB-4929,HMB,HaMeBi,0xC3b2140aC3E95EdFea220681EeCA127fC81E4929,18
92,XEN-6Fb8,XEN,XEN Crypto,0x06450dEe7FD2Fb8E39061434BAbCFC05599a6Fb8,18
93,XUSD-E7d8,XUSD,Metapia Stable USDtoXEN,0x15964Cc23e13141D290Da9581213B4B0879cE7d8,8
94,ITO-C5Ab,ITO,InTime,0x293B0Cd0991DB07c8529fEBb01bc7D052315C5Ab,18
95,HVC-51a4,HVC,HAVICC,0x397cc4DfB5528dc31F73f55eb738ad7Aa89651a4,18
96,OTO-8b56,OTO,OnTime,0x028CE5EA3298a50c0D8a27b937b1F48Cf0d68b56,18
97,BBA-8eb0,BBA,BITCOIN BANK AMERICA,0x5633C3bE7fbA30f2B5f93fab29daA9a381cA8eb0,18
98,MASATO-921A,MASATO,Masato Inu,0x883a8108e562e19ADC92932022c11CA06F4f921A,18
99,100MD-fBe6,100MD,100 million dollars dream,0x53868AC71297768254883b31AAdda7328B70fBe6,18
100,SHIB-C4cE,SHIB,SHIBA INU,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,18
101,STFMG-1e39,STFMG,STARFORCEONE GOLD,0x0Bfda9a1914dD56313DA138143e871c2b7A01e39,18
102,BDOG-15B5,BDOG,Big Dog,0xdfd1E167753b1413B0355D6770C7732Dadd915B5,18
103,ADOGE-DEc5,ADOGE,AlphaDOGE,0x1492E7db29f5A79F47ea73Ed6081F57bc553DEc5,18
104,RCK-53CC,RCK,Rockstar,0x8614b0e8CEdC82D5aeF4724Aed49939f67E153CC,18
105,TOS-8153,TOS,TONStarter,0x409c4D8cd5d2924b9bc5509230d16a61289c8153,18
106,WTON-bff2,WTON,Wrapped TON,0xc4A11aaf6ea915Ed7Ac194161d2fC9384F15bff2,27
107,KNX-9F6B,KNX,KNX,0x44F9b7859291dd247A07E4088B04325B206F9F6B,18
108,KNX-7DA0,KNX,KNX,0xe93a27d4ED64F44a2B356d78C06115e5C9D97DA0,18
109,ELON-60F3,ELON,Dogelon,0x761D38e5ddf6ccf6Cf7c55759d5210750B5D60F3,18
110,carbon-3286,carbon,carbon chain,0xE64B18eA9F6Cef68888Ce13274B94f34597D3286,18
111,DIM-44Ac,DIM,Diamoon,0xBA5bB1707a93c6DEB94F5D3577839D38317344Ac,18
112,STARS-b7f5,STARS,STARFORCEONE STARS,0x0D9CBb4dA636a180CD872cc2459abF7Afa34b7f5,18
113,ELONINDEX-23D0,ELONINDEX,Dogelon Index,0x1b17016a9012F35b79F0835F513ebE0a6A8623D0,18
114,PROS-008A,PROS,Prospective,0xbe1936A67f503e0eaF2434b0cf9f4e3d7100008A,18
115,BTT-7957,BTT,BitTorrent,0xC669928185DbCE49d2230CC9B0979BE6DC797957,18
116,FAMILY-4798,FAMILY,FAMILY TOKEN,0x479378950a2E71BD05435CdF52257477b8034798,18
117,KOCHI-f735,KOCHI,KOCHI INU,0x5F183834B61bf4D0cE28033871bFA408ff97f735,18
118,FRAX-b99e,FRAX,Frax,0x853d955aCEf822Db058eb8505911ED77F175b99e,18
119,USE-b9E1,USE,Users,0xDE0903dBa86FE7a6c2F40c337CFaF5756784b9E1,18
120,Murakami-cDE9,Murakami,Murakami Flowers,0x6b251ccc81855F82195Ff1F182aD4B119904cDE9,18
121,ARTS-e2DE,ARTS,ArtsTic,0xc217998Dba399bd1DfA354dCE6a4E278b4ADe2DE,18
122,HVE2-73f5,HVE2,Uhive Token V2,0xD487892BB4C57edBe7aB401d9fe801c8FE6473f5,18
123,CLNR-f992,CLNR,Cleaner Earth,0xb6E349e2649241E934F3cF13aEd65047987ef992,18
124,CLEANER-a514,CLEANER,Cleaner Earth Token,0xDc28c25c345ec21C2Af50D42A4fCE6e8CaEAa514,18
125,Metti-4573,Metti,Metti Inu,0x84B67E43474a403Cde9aA181b02Ba07399a54573,18
