id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor,fee_float
16,2381976568446569244243622252022377480199,2023-04-26 14:17:53.949857,17130945,carbon_v1 USDC-eB48/BNT-FF1C None,USDC-eB48/BNT-FF1C,carbon_v1,0,nan,nan,15000000,0,0,363382632,29100000020685479436,29100000020685479436,0,5819312065461623,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
17,2381976568446569244243622252022377480202,2023-04-26 14:17:53.96239,17130945,carbon_v1 BNT-FF1C/USDC-eB48 None,BNT-FF1C/USDC-eB48,carbon_v1,0,nan,nan,42475983105040000000000,42474631772478133195336,5540895498750915,5596458787486529,2000000,2000000,0,0,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
18,2722258935367507707706996859454145691656,2023-04-26 14:17:53.964025,17130945,carbon_v1 ETH-EEeE/USDT-1ec7 None,ETH-EEeE/USDT-1ec7,carbon_v1,0,nan,nan,0,0,0,4405262671506063,5000000,5000000,0,12269209786,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
19,2722258935367507707706996859454145691665,2023-04-26 14:17:53.965566,17130945,carbon_v1 ETH-EEeE/USDT-1ec7 None,ETH-EEeE/USDT-1ec7,carbon_v1,0,nan,nan,10000000000000000,10000000000000000,0,4416948323569862,209000000,209000000,0,12336826990,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
20,3062541302288446171170371466885913903115,2023-04-26 14:17:53.971462,17130945,carbon_v1 rETH-6393/ETH-EEeE None,rETH-6393/ETH-EEeE,carbon_v1,0,nan,nan,0,0,0,271985064596309,2000000000000000000,2000000000000000000,0,426782599738670,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
21,3743106036130323098097120681749450326030,2023-04-26 14:17:53.974176,17130945,carbon_v1 ETH-EEeE/BNT-FF1C None,ETH-EEeE/BNT-FF1C,carbon_v1,0,nan,nan,50000000000000000,50000000000000000,0,3980657295328,500000000000000000000,500000000000000000000,0,1965262797370078,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
22,3743106036130323098097120681749450326031,2023-04-26 14:17:53.976438,17130945,carbon_v1 BNT-FF1C/ETH-EEeE None,BNT-FF1C/ETH-EEeE,carbon_v1,0,nan,nan,500000000000000000000,500000000000000000000,0,1604061502893966,150000000000000000,150000000000000000,0,3980657295328,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
23,3743106036130323098097120681749450326034,2023-04-26 14:17:53.978641,17130945,carbon_v1 BNT-FF1C/ETH-EEeE None,BNT-FF1C/ETH-EEeE,carbon_v1,0,nan,nan,200000000000000000000,200000000000000000000,0,1599321369715856,70000000000000000,70000000000000000,0,3980657295328,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
24,4083388403051261561560495289181218537493,2023-04-26 14:17:53.980398,17130945,carbon_v1 WBTC-C599/USDC-eB48 None,WBTC-C599/USDC-eB48,carbon_v1,0,nan,nan,0,0,483712522794,16090853419632,1270214676,1270214676,127896581504192,1550564903808408,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
25,4423670769972200025023869896612986748950,2023-04-26 14:17:53.983417,17130945,carbon_v1 BNT-FF1C/vBNT-7f94 None,BNT-FF1C/vBNT-7f94,carbon_v1,0,nan,nan,0,0,0,0,13290464521842656922337,13290464521842656922337,10357734819432,262542380173963,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
