cid,last_updated,last_updated_block,address,exchange_name,exchange_id,fee,fee_float,pair_name,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_symbol,tkn1_symbol,tkn0_decimals,tkn1_decimals,tkn0_balance,tkn1_balance,sqrt_price_q96,tick,tick_spacing,liquidity,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,descr
9ec2991f-3b14-4677-81b0-86a5e4d00c23,2023-05-06 19:11:06.642802,17203475,0x4981139ACAf3362Fa31e7D12f81fF4b65f881A2C,uniswap_v3,4,10000.0,0.01,USDC-eB48/CND-95fa,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xd4c435F5B09F855C3317c8524Cb1F586E42795fa,USDC-eB48,CND-95fa,USDC,CND,6,18,,,2.22260013611354e+36,343009.0,200.0,8.338803724743345e+17,,,,,,,,,uniswap_v3 USDC-eB48/CND-95fa 10000
9ecb5ea3-d111-4712-88ee-52da8bfd8c37,2023-05-06 18:58:17.519340,17203475,0xE3FE800B0de664bf0bCa8aD58eCbc73B259047b0,uniswap_v3,4,500.0,0.0005,POWR-1269/WETH-6Cc2,0x595832F8FC6BF59c85C527fEC3740A1b7a361269,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,POWR-1269,WETH-6Cc2,POWR,WETH,6,18,,,7.54765991673991e+32,183245.0,10.0,7.014100104594917e+16,,,,,,,,,uniswap_v3 POWR-1269/WETH-6Cc2 500
9f05dc60-a94a-4a04-a2de-9d65fa84182e,2023-05-06 19:47:06.370696,17203475,0x9583268553dE82Effe4ef63e01980aabd7cB5E27,uniswap_v2,3,0.003,0.003,LAEEB-863d/WETH-6Cc2,0x3B1a3C5d9D5C60651D4841C7814aA0FbB45A863d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,LAEEB-863d,WETH-6Cc2,LAEEB,WETH,18,18,5.38189351112992e+26,1.6398543551640407e+18,0.0,,,,,,,,,,,,uniswap_v2 LAEEB-863d/WETH-6Cc2 0.003
9f161002-4e9d-45ec-b6f0-bc9270c8c397,2023-05-06 19:38:31.858847,17203475,0xb6CA52c7916ad7960C12Dc489FD93E5Af7cA257f,uniswap_v2,3,0.003,0.003,eMax-7FF6/WETH-6Cc2,0x15874d65e649880c2614e7a480cb7c9A55787FF6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,eMax-7FF6,WETH-6Cc2,eMax,WETH,18,18,2.72010918297755e+31,8.27847870067565e+19,0.0,,,,,,,,,,,,uniswap_v2 eMax-7FF6/WETH-6Cc2 0.003
9f1d8a47-6c2e-4185-aea3-a9dc0b5a92c1,2023-05-06 19:47:21.902184,17203475,0xeC745519247642fbF14689Ac7254068DFfbA08e3,uniswap_v2,3,0.003,0.003,ELongD-4d1B/WETH-6Cc2,0x348B7f3106B5Da47405332534d06069fF9CE4d1B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ELongD-4d1B,WETH-6Cc2,ELongD,WETH,9,18,1.11115838450788e+28,2.23358212223834e+19,0.0,,,,,,,,,,,,uniswap_v2 ELongD-4d1B/WETH-6Cc2 0.003
9f273053-ed8e-46b4-94ba-eb488092987a,2023-05-06 19:27:05.483958,17203475,0xF69C002B568FA6439e55fE756706B78a6CDFf79D,uniswap_v2,3,0.003,0.003,yShori-d69b/WETH-6Cc2,0x25644eA5bE09d1266B5df3F96559Ecdc2D0ad69b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,yShori-d69b,WETH-6Cc2,yShori,WETH,18,18,7.83602384282405e+25,2.38170836755914e+19,0.0,,,,,,,,,,,,uniswap_v2 yShori-d69b/WETH-6Cc2 0.003
9f311bd9-3a58-4239-8c3e-f43761bdb7a5,2023-05-06 19:30:20.463970,17203475,0x06aD23978F67AE8Cc76c54b74993B31A816BAC2b,uniswap_v2,3,0.003,0.003,WETH-6Cc2/CONV-8B50,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc834Fa996fA3BeC7aAD3693af486ae53D8aA8B50,WETH-6Cc2,CONV-8B50,WETH,CONV,18,18,2.1346809272425905e+18,5.96889693682524e+24,0.0,,,,,,,,,,,,uniswap_v2 WETH-6Cc2/CONV-8B50 0.003
9f50d4e3-eb0e-4130-be8f-dcb21d45bb13,2023-05-06 19:06:18.182335,17203475,0x7569349084fCe8E5162D96D351B994E166eF6778,uniswap_v3,4,10000.0,0.01,XRT-1cb7/WETH-6Cc2,0x7dE91B204C1C737bcEe6F000AAA6569Cf7061cb7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,XRT-1cb7,WETH-6Cc2,XRT,WETH,9,18,,,1.1999785794569e+32,146465.0,200.0,2.3366298774506112e+17,,,,,,,,,uniswap_v3 XRT-1cb7/WETH-6Cc2 10000
9f5d142b-8203-4b06-92f9-bc8660b711c6,2023-05-06 19:14:54.131598,17203475,0xf5B8304dC18579c4247CAAd705dF01928248bc71,uniswap_v3,4,3000.0,0.003,MNTL-3295/WETH-6Cc2,0x2C4F1DF9c7DE0C59778936C9b145fF56813F3295,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,MNTL-3295,WETH-6Cc2,MNTL,WETH,6,18,,,1.32734559612382e+32,148482.0,60.0,3.308992638102956e+16,,,,,,,,,uniswap_v3 MNTL-3295/WETH-6Cc2 3000
9f6ee20b-ef1f-4c9c-8bb6-17881255f350,2023-05-06 19:10:06.043621,17203475,0xd2CC51ADf50Ff9f774c42FC492eCe81Cb8c98C46,uniswap_v3,4,10000.0,0.01,VSP-8421/WETH-6Cc2,0x1b40183EFB4Dd766f11bDa7A7c3AD8982e998421,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,VSP-8421,WETH-6Cc2,VSP,WETH,18,18,,,1.09501109059149e+27,-85636.0,200.0,4.30275929687124e+21,,,,,,,,,uniswap_v3 VSP-8421/WETH-6Cc2 10000
9f74ae06-620b-47b4-b0b6-f386d71260e8,2023-05-06 19:25:03.772248,17203475,0x58557CFA7dcfe3A67E9A13080c90655E89cc1f11,uniswap_v3,4,500.0,0.0005,OHM-f1D5/USDC-eB48,0x64aa3364F17a4D01c6f1751Fd97C2BD3D7e7f1D5,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,OHM-f1D5,USDC-eB48,OHM,USDC,9,6,,,7.99997151284302e+27,-45861.0,10.0,0.0,,,,,,,,,uniswap_v3 OHM-f1D5/USDC-eB48 500
9fa2267c-d437-4349-8afd-b4670f624fc4,2023-05-06 19:25:55.613959,17203475,0x5c1e3f0979513F1111995DA718780BD24E73cDA3,uniswap_v3,4,10000.0,0.01,BRD-9aD6/USDT-1ec7,0x558EC3152e2eb2174905cd19AeA4e34A23DE9aD6,0xdAC17F958D2ee523a2206206994597C13D831ec7,BRD-9aD6,USDT-1ec7,BRD,USDT,18,6,,,6.02539736911477e+21,-327854.0,200.0,2.035235944004309e+16,,,,,,,,,uniswap_v3 BRD-9aD6/USDT-1ec7 10000
