cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange,pool_type,tkn0_weight,tkn1_weight,tkn2_address,tkn2_decimals,tkn2_symbol,tkn2_balance,tkn2_weight,tkn3_address,tkn3_decimals,tkn3_symbol,tkn3_balance,tkn3_weight,tkn4_address,tkn4_decimals,tkn4_symbol,tkn4_balance,tkn4_weight,tkn5_address,tkn5_decimals,tkn5_symbol,tkn5_balance,tkn5_weight,tkn6_address,tkn6_decimals,tkn6_symbol,tkn6_balance,tkn6_weight,tkn7_address,tkn7_decimals,tkn7_symbol,tkn7_balance,tkn7_weight
0xd1DB5a1a65415dC07674771991A368e8D20e7908,,2317870,uniswap_v3 0x4200000000000000000000000000000000000006/0xEB466342C4d449BC9f53A865D5Cb90586f40521 10000,0x4200000000000000000000000000000000000006/0xEB466342C4d449BC9f53A865D5Cb90586f40521,uniswap_v3,10000,0.01,0xd1DB5a1a65415dC07674771991A368e8D20e7908,,0x4200000000000000000000000000000000000006,0xEB466342C4d449BC9f53A865D5Cb90586f405215,18,6,4,WETH,AXLUSDC,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xdFaD01012B1f658f449553A29aF4770e368cBF32,,2317918,uniswap_v3 0x4200000000000000000000000000000000000006/0x6653dD4B92a0e5Bf8ae570A98906d9D6fD2eEc0 10000,0x4200000000000000000000000000000000000006/0x6653dD4B92a0e5Bf8ae570A98906d9D6fD2eEc0,uniswap_v3,10000,0.01,0xdFaD01012B1f658f449553A29aF4770e368cBF32,,0x4200000000000000000000000000000000000006,0x6653dD4B92a0e5Bf8ae570A98906d9D6fD2eEc09,18,18,4,WETH,RCKT,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0DE3e61A2259a629E7b513Ed567Ca533f757CBDE,,2317948,uniswap_v3 0x4200000000000000000000000000000000000006/0xEB466342C4d449BC9f53A865D5Cb90586f40521 3000,0x4200000000000000000000000000000000000006/0xEB466342C4d449BC9f53A865D5Cb90586f40521,uniswap_v3,3000,0.003,0x0DE3e61A2259a629E7b513Ed567Ca533f757CBDE,,0x4200000000000000000000000000000000000006,0xEB466342C4d449BC9f53A865D5Cb90586f405215,18,6,4,WETH,AXLUSDC,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xBC1Db65448F2b16F08e8f954D6EBaF154a7564E4,,2317970,uniswap_v3 0x4200000000000000000000000000000000000006/0xB72f3ad792Cb332Df8b0524143102d78f0405fe 10000,0x4200000000000000000000000000000000000006/0xB72f3ad792Cb332Df8b0524143102d78f0405fe,uniswap_v3,10000,0.01,0xBC1Db65448F2b16F08e8f954D6EBaF154a7564E4,,0x4200000000000000000000000000000000000006,0xB72f3ad792Cb332Df8b0524143102d78f0405fe2,18,18,4,WETH,UNI,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2640901eb2Ac4a139f7FB8DA6F27Af5520d21636,,2317995,uniswap_v3 0x4200000000000000000000000000000000000006/0xF71F3AD5df23Cc78362Cd5Fb312182E1e300c34 10000,0x4200000000000000000000000000000000000006/0xF71F3AD5df23Cc78362Cd5Fb312182E1e300c34,uniswap_v3,10000,0.01,0x2640901eb2Ac4a139f7FB8DA6F27Af5520d21636,,0x4200000000000000000000000000000000000006,0xF71F3AD5df23Cc78362Cd5Fb312182E1e300c34d,18,18,4,WETH,CryptoAI,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x60dd1CDaa6130F1b64a1F1687f6ee5d696D40796,,2317995,uniswap_v3 0x4200000000000000000000000000000000000006/0xC1BC0e1521d4eCe2332c2673914Caa99dfE77CC 3000,0x4200000000000000000000000000000000000006/0xC1BC0e1521d4eCe2332c2673914Caa99dfE77CC,uniswap_v3,3000,0.003,0x60dd1CDaa6130F1b64a1F1687f6ee5d696D40796,,0x4200000000000000000000000000000000000006,0xC1BC0e1521d4eCe2332c2673914Caa99dfE77CC0,18,18,4,WETH,Unidoge,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xC5d4d9671E1F3cB5369a30e6b64A68afED284d78,,2318010,uniswap_v3 0x4200000000000000000000000000000000000006/0x4D23101C5e1785b6F7A83084247851899d7D779 10000,0x4200000000000000000000000000000000000006/0x4D23101C5e1785b6F7A83084247851899d7D779,uniswap_v3,10000,0.01,0xC5d4d9671E1F3cB5369a30e6b64A68afED284d78,,0x4200000000000000000000000000000000000006,0x4D23101C5e1785b6F7A83084247851899d7D7793,18,18,4,WETH,Uniun,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x058932f281E13564C885C95e97c449C5cB188987,,2318096,uniswap_v3 0x4200000000000000000000000000000000000006/0x69665Cd12e57993eA679F24a09E121089c67f9a 10000,0x4200000000000000000000000000000000000006/0x69665Cd12e57993eA679F24a09E121089c67f9a,uniswap_v3,10000,0.01,0x058932f281E13564C885C95e97c449C5cB188987,,0x4200000000000000000000000000000000000006,0x69665Cd12e57993eA679F24a09E121089c67f9a5,18,18,4,WETH,X,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x61B460f89E41ac9E825a433D652C95A978E5f9D0,,2318154,uniswap_v3 0x4200000000000000000000000000000000000006/0xaaa4A0f4493A29bd92109696baEDc83D1ADbA80 10000,0x4200000000000000000000000000000000000006/0xaaa4A0f4493A29bd92109696baEDc83D1ADbA80,uniswap_v3,10000,0.01,0x61B460f89E41ac9E825a433D652C95A978E5f9D0,,0x4200000000000000000000000000000000000006,0xaaa4A0f4493A29bd92109696baEDc83D1ADbA808,18,18,4,WETH,test,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xa543dA4Ec1549843f0C65e4f679F49080ED059b6,,2318210,uniswap_v3 0x4200000000000000000000000000000000000006/0xB0fBcB979806A54D4262efC2D30443a35A02D77 10000,0x4200000000000000000000000000000000000006/0xB0fBcB979806A54D4262efC2D30443a35A02D77,uniswap_v3,10000,0.01,0xa543dA4Ec1549843f0C65e4f679F49080ED059b6,,0x4200000000000000000000000000000000000006,0xB0fBcB979806A54D4262efC2D30443a35A02D77d,18,8,4,WETH,Toshi,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xB323DE8dad103EEcd46Ca4E49239D0b8adD9074C,,2318281,uniswap_v3 0x4200000000000000000000000000000000000006/0x69665Cd12e57993eA679F24a09E121089c67f9a 3000,0x4200000000000000000000000000000000000006/0x69665Cd12e57993eA679F24a09E121089c67f9a,uniswap_v3,3000,0.003,0xB323DE8dad103EEcd46Ca4E49239D0b8adD9074C,,0x4200000000000000000000000000000000000006,0x69665Cd12e57993eA679F24a09E121089c67f9a5,18,18,4,WETH,X,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2f35C5480bF95160b653695d3568a5747633d810,,2318353,uniswap_v3 0x4200000000000000000000000000000000000006/0x9E53e88dCff56d3062510A745952DEC4cEFDff9 10000,0x4200000000000000000000000000000000000006/0x9E53e88dCff56d3062510A745952DEC4cEFDff9,uniswap_v3,10000,0.01,0x2f35C5480bF95160b653695d3568a5747633d810,,0x4200000000000000000000000000000000000006,0x9E53e88dCff56d3062510A745952DEC4cEFDff9E,18,18,4,WETH,DOG,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2F4e0A18af8CD08448B762954F5B184C63c8E3B8,,2318373,uniswap_v3 0x1b9bC9c7639Ad9EB501153bd25Fe5641cc80bfe6/0x420000000000000000000000000000000000000 10000,0x1b9bC9c7639Ad9EB501153bd25Fe5641cc80bfe6/0x420000000000000000000000000000000000000,uniswap_v3,10000,0.01,0x2F4e0A18af8CD08448B762954F5B184C63c8E3B8,,0x1b9bC9c7639Ad9EB501153bd25Fe5641cc80bfe6,0x4200000000000000000000000000000000000006,18,18,4,科太币,WETH,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
