,Unnamed: 0,exchange_name,address,tkn0_address,tkn1_address,fee
0,0,bancor_pol,0xD06146D292F9651C1D7cf54A3162791DFc2bEf46,0x903bEF1736CDdf2A537176cf3C64579C3867A881,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,"('0.000', 0.0)"
72,72,uniswap_v2,0xF6D109FaB08E84a005f34e1f5F0A8c5A02d0d0E5,0x72c60bFffEF18dCa51db32b52b819A951b6Ddbed,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,"('0.003', 0.003)"
73,73,uniswap_v2,0xC715a91F98a3370c8806B54C1a4738d85753848B,0xAf05Ce8A2Cef336006E933c02fc89887F5B3C726,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,"('0.003', 0.003)"
74,74,uniswap_v2,0x6Ee406D31ce2669350f8dDF1556a41B567bCB3D5,0x3ea82FE201a08cca7365812D38e9744a044A84aE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,"('0.003', 0.003)"
75,75,uniswap_v2,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,"('0.003', 0.003)"
76,76,uniswap_v2,0x977C5fcf7a552d38ADCDE4F41025956855497C6D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xfF836A5821E69066c87E268bC51b849FaB94240C,"('0.003', 0.003)"
77,77,uniswap_v2,0x18c672A2E58452C5Ef20c1DC13554f746e71acba,0x07dc4E59583CBd95B3dAe3DDAaBA95F61F6C19b2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,"('0.003', 0.003)"
78,78,uniswap_v2,0xD8CcF394aD0168f9bE47BCD1A91Ea234D8082A4c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xfA002b2dc6d4edB08D9D7480879Fd2695204cb88,"('0.003', 0.003)"
79,79,uniswap_v2,0x9c04560df8Dff626555317CCc2c336b9c24fDA41,0x33f289d91286535c47270C8479f6776Fb3AdEB3e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,"('0.003', 0.003)"
80,80,uniswap_v2,0x2a6c340bCbb0a79D3deecD3bc5cBc2605ea9259f,0x14feE680690900BA0ccCfC76AD70Fd1b95D10e16,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,"('0.003', 0.003)"
81,81,sushiswap_v2,0xE12af1218b4e9272e9628D7c7Dc6354D137D024e,0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,"('0.0025', 0.0025)"
82,82,sushiswap_v2,0x3e70f4eA78032037f3B07b2460e82ACE6181e919,0x0F7B3F5a8FeD821c5eb60049538a548dB2D479ce,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,"('0.0025', 0.0025)"
