func_name,ncalls,tottime,cumtime
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/bot.py', 1364, 'run')",6,0.000117706,177.301935625
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/network.py', 119, 'new')",1,2.042e-06,4.25e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/network.py', 133, '__init__')",1,1.1660000000000001e-06,2.2080000000000003e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/db.py', 34, 'new')",1,1.9590000000000002e-06,9e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/base.py', 16, '__init__')",4,3.168e-06,3.418e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/db.py', 54, '__init__')",1,5.41e-07,8.750000000000001e-07
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/db.py', 73, '__init__')",1,6.166000000000001e-06,7.041000000000001e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/logger.py', 34, 'get_logger')",1,1.5458e-05,0.000630167
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/logger.py', 89, 'logger')",1016,0.00035939100000000003,0.00035939100000000003
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/logger.py', 97, 'info')",239,0.00042049800000000005,0.024669828
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/logger.py', 93, 'debug')",776,0.001729906,0.003080199
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/logger.py', 105, 'error')",1,2.459e-06,0.001749167
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/logger.py', 109, 'new')",1,2.334e-06,0.0006386250000000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/logger.py', 122, '__init__')",1,4.332e-06,0.0006362910000000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/provider.py', 44, 'new')",1,5.4570000000000004e-06,1.100064291
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/provider.py', 69, '__init__')",1,6.660000000000001e-07,9.160000000000001e-07
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/provider.py', 81, '__init__')",1,3.0501e-05,1.1000588340000002
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/config.py', 65, 'new')",1,7.4990000000000005e-06,1.100735833
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/config.py', 95, 'is_config_item')",144937,0.24358844300000002,0.32029802300000004
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/connect.py', 40, '__call__')",1,1.5e-06,1.5e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/connect.py', 126, 'is_connected')",1,3.3300000000000003e-07,3.3300000000000003e-07
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/connect.py', 161, 'connect_network')",1,9.126e-06,0.001715125
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/config.py', 109, 'get_attribute_from_config')",144889,0.057796704000000004,0.06923593900000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/config.py', 118, '__getattr__')",144937,0.048627549000000006,0.438161511
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/config/config.py', 126, '__post_init__')",1,9.375000000000001e-06,1.100083125
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/tradeinstruction.py', 84, 'tknin_key')",120,2.2865000000000002e-05,2.2865000000000002e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/tradeinstruction.py', 363, 'amtout_wei')",18,3.2510000000000003e-06,3.2510000000000003e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/tradeinstruction.py', 377, 'is_carbon')",10,2.126e-06,2.126e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 27, '__eq__')",549984,0.100497481,0.116923807
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 30, '__hash__')",865164,0.1002349,0.127776397
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 60, 'cfg')",150,3.1711e-05,3.1711e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/tradeinstruction.py', 91, 'tknout_key')",72,1.4832000000000001e-05,1.4832000000000001e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/tradeinstruction.py', 98, '__post_init__')",30,0.0007101770000000001,4.709865582
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/tradeinstruction.py', 157, 'exchange_name')",18,6.249000000000001e-06,6.249000000000001e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/tradeinstruction.py', 164, '_quantize')",96,0.000549405,0.0007616620000000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/tradeinstruction.py', 259, '_convert_to_wei')",78,0.000112001,0.000112001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/tradeinstruction.py', 278, '_convert_to_decimals')",60,0.000472037,0.000472037
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/tradeinstruction.py', 299, '_check_if_carbon')",30,4.0922000000000006e-05,5.4588000000000007e-05
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/tradeinstruction.py', 314, 'cid_tkn')",30,4.502e-06,4.502e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/tradeinstruction.py', 328, 'tknin_decimals')",6,1.9600000000000003e-06,1.9600000000000003e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/tradeinstruction.py', 335, 'amtin_wei')",18,2.876e-06,2.876e-06
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 94, '<listcomp>')",6,0.004029751,0.004029751
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 91, 'remove_unsupported_exchanges')",6,0.000259124,0.020128418000000002
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 107, 'has_balance')",28710,0.01314349,0.01314349
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 145, '<listcomp>')",42,0.023447639000000003,0.07702149800000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 152, '<listcomp>')",36,0.013302876000000002,0.013302876000000002
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 127, 'filter_pools')",78,0.00017470700000000002,0.09049908100000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 156, 'log_pool_numbers')",138,0.000341215,0.008273586000000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 197, '<listcomp>')",6,0.001319124,0.078507542
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 205, '<listcomp>')",42,0.012829621000000001,0.012829621000000001
"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 209, '<listcomp>')",6,1.408221584,1.408221584
