,Unnamed: 0,address,name,symbol,decimals,blockchain,key
0,0,0x0Ed024d39d55e486573EE32e583bC37Eb5A6271f,JCD,JCD,18,ethereum,JCD-271f
1,0,0x15F84Bfb8Ed86fAf8455cF6C9D88908ea89f92b6,WATCH,WATCH,18,ethereum,WATCH-92b6
