id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor,tkn0,tkn1,tkn0_address,tkn0_decimals,tkn1_address,tkn1_decimals
10,1701411834604692317316873037158841057300,2023-04-22 22:43:17.995553,17104931,carbon_v1 ETH-EEeE/USDC-eB48 None,ETH-EEeE/USDC-eB48,carbon_v1,0,,,0,0,2995657465959328,4172302982768969,0,0,3368189479,8901020307,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,ETH-EEeE,USDC-eB48,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
11,1701411834604692317316873037158841057306,2023-04-22 22:43:17.999182,17104931,carbon_v1 ETH-EEeE/USDC-eB48 None,ETH-EEeE/USDC-eB48,carbon_v1,0,,,0,0,2689878730660032,4414201427359729,5000000000,5000000000,0,10550619334,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,ETH-EEeE,USDC-eB48,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
12,1701411834604692317316873037158841057307,2023-04-22 22:43:18.002882,17104931,carbon_v1 ETH-EEeE/USDC-eB48 None,ETH-EEeE/USDC-eB48,carbon_v1,0,,,0,0,2957617717098016,4407379944398141,0,0,325482628,12008132901,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,ETH-EEeE,USDC-eB48,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
13,1701411834604692317316873037158841057315,2023-04-22 22:43:18.006508,17104931,carbon_v1 ETH-EEeE/USDC-eB48 None,ETH-EEeE/USDC-eB48,carbon_v1,0,,,370000000000000000,370000000000000000,2774632371511232,4397465956278860,1000000000,237282379,310860233,12587943637,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,ETH-EEeE,USDC-eB48,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
14,2041694201525630780780247644590609268742,2023-04-22 22:43:18.014774,17104931,carbon_v1 DAI-1d0F/USDT-1ec7 None,DAI-1d0F/USDT-1ec7,carbon_v1,0,,,20000000000000000000,20000000000000000000,0,5897266407715429,20000000,20000000,0,280770407,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,DAI-1d0F,USDT-1ec7,0x6B175474E89094C44Da98b954EedeAC495271d0F,18,0xdAC17F958D2ee523a2206206994597C13D831ec7,6
15,2381976568446569244243622252022377480199,2023-04-22 22:43:18.883119,17104931,carbon_v1 USDC-eB48/BNT-FF1C None,USDC-eB48/BNT-FF1C,carbon_v1,0,,,15000000,13000000,0,363382632,21800000003878527290,21300000003878527848,0,5819312065461623,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,USDC-eB48,BNT-FF1C,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,18
16,2381976568446569244243622252022377480202,2023-04-22 22:43:18.898307,17104931,carbon_v1 BNT-FF1C/USDC-eB48 None,BNT-FF1C/USDC-eB48,carbon_v1,0,,,42475983105040000000000,42474631772478133195336,5540895498750915,5596458787486529,2000000,2000000,0,0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,BNT-FF1C,USDC-eB48,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
17,2722258935367507707706996859454145691656,2023-04-22 22:43:18.906041,17104931,carbon_v1 ETH-EEeE/USDT-1ec7 None,ETH-EEeE/USDT-1ec7,carbon_v1,0,,,0,0,0,4405262671506063,10000000,10000000,0,12269209786,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,ETH-EEeE,USDT-1ec7,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,0xdAC17F958D2ee523a2206206994597C13D831ec7,6
18,2722258935367507707706996859454145691665,2023-04-22 22:43:18.910848,17104931,carbon_v1 ETH-EEeE/USDT-1ec7 None,ETH-EEeE/USDT-1ec7,carbon_v1,0,,,10000000000000000,10000000000000000,0,4416948323569862,209000000,209000000,0,12336826990,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,ETH-EEeE,USDT-1ec7,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,0xdAC17F958D2ee523a2206206994597C13D831ec7,6
19,3062541302288446171170371466885913903115,2023-04-22 22:43:19.759089,17104931,carbon_v1 rETH-6393/ETH-EEeE None,rETH-6393/ETH-EEeE,carbon_v1,0,,,0,0,0,271985064596309,2000000000000000000,2000000000000000000,0,426782599738670,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,rETH-6393,ETH-EEeE,0xae78736Cd615f374D3085123A210448E74Fc6393,18,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18
20,3743106036130323098097120681749450326030,2023-04-22 22:43:19.766082,17104931,carbon_v1 ETH-EEeE/BNT-FF1C None,ETH-EEeE/BNT-FF1C,carbon_v1,0,,,50000000000000000,50000000000000000,0,3980657295328,500000000000000000000,500000000000000000000,0,1965262797370078,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,ETH-EEeE,BNT-FF1C,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,18
21,3743106036130323098097120681749450326031,2023-04-22 22:43:19.774751,17104931,carbon_v1 BNT-FF1C/ETH-EEeE None,BNT-FF1C/ETH-EEeE,carbon_v1,0,,,500000000000000000000,500000000000000000000,0,1604061502893966,150000000000000000,150000000000000000,0,3980657295328,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,BNT-FF1C,ETH-EEeE,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,18,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18
22,3743106036130323098097120681749450326034,2023-04-22 22:43:19.779867,17104931,carbon_v1 BNT-FF1C/ETH-EEeE None,BNT-FF1C/ETH-EEeE,carbon_v1,0,,,200000000000000000000,200000000000000000000,0,1599321369715856,70000000000000000,70000000000000000,0,3980657295328,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,BNT-FF1C,ETH-EEeE,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,18,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18
23,4083388403051261561560495289181218537493,2023-04-22 22:43:20.595728,17104931,carbon_v1 WBTC-C599/USDC-eB48 None,WBTC-C599/USDC-eB48,carbon_v1,0,,,0,0,483712522794,16090853419632,1270214676,1270214676,127896581504192,1550564903808408,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,WBTC-C599,USDC-eB48,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
24,4423670769972200025023869896612986748950,2023-04-22 22:43:21.363596,17104931,carbon_v1 BNT-FF1C/vBNT-7f94 None,BNT-FF1C/vBNT-7f94,carbon_v1,0,,,0,0,0,0,13290464521842656922337,13290464521842656922337,10357734819432,262542380173963,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,BNT-FF1C,vBNT-7f94,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,18,0x48Fb253446873234F2fEBbF9BdeAA72d9d387f94,18
25,4763953136893138488487244504044754960408,2023-04-22 22:43:22.267337,17104931,carbon_v1 LINK-86CA/USDT-1ec7 None,LINK-86CA/USDT-1ec7,carbon_v1,0,,,10874600310000000000,10874600310000000000,0,5541499404403396,190161820,190161820,0,755276618,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,LINK-86CA,USDT-1ec7,0x514910771AF9Ca656af840dff83E8264EcF986CA,18,0xdAC17F958D2ee523a2206206994597C13D831ec7,6
26,5104235503814076951950619111476523171868,2023-04-22 22:43:22.274018,17104931,carbon_v1 vBNT-7f94/USDC-eB48 None,vBNT-7f94/USDC-eB48,carbon_v1,0,,,0,0,0,0,1568643316,1568643316,32103238,132023466,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,vBNT-7f94,USDC-eB48,0x48Fb253446873234F2fEBbF9BdeAA72d9d387f94,18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
27,5784800237655953878877368326340059594782,2023-04-22 22:43:23.951432,17104931,carbon_v1 RPL-A51f/XCHF-fc08 None,RPL-A51f/XCHF-fc08,carbon_v1,0,,,17915505804080494069,17915505804080494069,0,0,2000000000000000000000,1243936280931989528054,201865352080192,1052578482527761,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,,RPL-A51f,XCHF-fc08,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,18,0xB4272071eCAdd69d933AdcD19cA99fe80664fc08,18
