,key,symbol,name,address,decimals,blockchain
51,MOR-f442,MOR,MOR,0xd35B5C85B0e74FdEEFb5Fb1Feb06632f61e3f442,9.0,ethereum
52,QUA-88B7,QUA,QUA,0xd35c06a2781f648c75290976ecF71E71582188B7,18.0,ethereum
53,DFE-f4dB,DFE,DFE,0xd35Ce4FD815522Ff52243EB587020d557617f4dB,18.0,ethereum
54,WDS-1A3c,WDS,WDS,0xD35dbbA502dd7722cd88Da11fD823c92baa81A3c,18.0,ethereum
55,CANDY-eAeD,CANDY,CANDY,0xd35f85eD2396CF48D543457a0319C39DFF0DeAeD,9.0,ethereum
56,AQUA-BCC9,AQUA,AQUA,0xd3629EB373978e2AE9fE9236A0F33D6D512DBCC9,18.0,ethereum
57,SIMP-d857,SIMP,SIMP,0xd3663a7dCBf296774D26F925013f6969fAD7d857,18.0,ethereum
58,BM-8DF1,BM,BM,0xD366Da5Dd597FE4d4672D4ECc9CEdA4d79468DF1,9.0,ethereum
59,ANCALAGON-9B60,ANCALAGON,ANCALAGON,0xd366F4837C7aA024fD08a02A486afcf5328b9B60,18.0,ethereum
60,MAAPL-5a84,MAAPL,MAAPL,0xd36932143F6eBDEDD872D5Fb0651f4B72Fd15a84,18.0,ethereum
61,IUT-6625,IUT,IUT,0xD36a0e7b741542208aE0fBb35453C893D0136625,0.0,ethereum
62,$GOBLIN-407b,$GOBLIN,$GOBLIN,0xD36b6398dcca099566F765192C698BEBc2D5407b,18.0,ethereum
63,ZAM-f4c6,ZAM,ZAM,0xd373576a9e738F37Dc6882328358Ff69c4cAf4c6,18.0,ethereum
64,REDETH-c4b6,REDETH,REDETH,0xd374ED05697E0Bf445A2bf166ec026aba1ADc4b6,9.0,ethereum
65,THUNDER-02a9,THUNDER,THUNDER,0xd37670D24Dc2F6C86C1Dd4c5DF199007bAba02a9,18.0,ethereum
66,DETS-1108,DETS,DETS,0xd379700999F4805Ce80aa32DB46A94dF64561108,18.0,ethereum
67,$CHANGE-D8E4,$CHANGE,$CHANGE,0xd381485381C18AF859aaFdBF71B70f6dc5EfD8E4,9.0,ethereum
68,Kachi-1359,Kachi,Kachi,0xd38AaC1ec42ae585ccC62caB40b44F7a337C1359,9.0,ethereum
69,SCRV-c1B1,SCRV,SCRV,0xD38aEb759891882e78E957c80656572503D8c1B1,18.0,ethereum
70,SIS-6dd9,SIS,SIS,0xd38BB40815d2B0c2d2c866e0c72c5728ffC76dd9,18.0,ethereum
71,𓌹ᄋ𓌺-70E2,𓌹ᄋ𓌺,𓌹ᄋ𓌺,0xd38C4f105d5e3bDE2944bba1855fc9E2Ae3F70E2,9.0,ethereum
72,AENS-23A7,AENS,AENS,0xD38dE88687172BDE440755b5237987e4A87c23A7,8.0,ethereum
73,ARCADE-D1a5,ARCADE,ARCADE,0xD393bb784C9ca83293Bf808617a03B052F5DD1a5,18.0,ethereum
74,yvCurve_DOLA_FRAXBP_U-3eE6,yvCurve-DOLA-FRAXBP-U,yvCurve-DOLA-FRAXBP-U,0xd395DEC4F1733ff09b750D869eEfa7E0D37C3eE6,18.0,ethereum
75,七-7CDa,七,七,0xd39C00eA073D81C6CD1a0856dFFe575c18B87CDa,18.0,ethereum
76,SCHRODINGER-9007,SCHRODINGER,SCHRODINGER,0xD3a24f674d8f7B6Ae22B0E8c4d1574079E719007,9.0,ethereum
77,GUARD-C25F,GUARD,GUARD,0xD3A70a49A4ba6d0080255Ac0bc92A6174089C25F,18.0,ethereum
78,OK-4189,OK,OK,0xd3Ac016b1B8C80EeAdDe4D186A9138C9324e4189,18.0,ethereum
79,YOTR-Cef8,YOTR,YOTR,0xd3Ad7F8D5a874D886AF2A584B58dB6F2Cb7FCef8,5.0,ethereum
80,404-cf44,404,404,0xD3B045458235C419a785156f68A72Daa0181cf44,5.0,ethereum
