cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol
5ec59736-d080-45ce-9af4-8a0533715e4f,2023-05-06 18:59:42.567499,17203475,uniswap_v3 BIT-a4C5/WETH-6Cc2 3000,BIT-a4C5/WETH-6Cc2,uniswap_v3,3000.0,0.003,0x5C128d25A21f681e678cB050E551A895c9309945,,0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BIT-a4C5,WETH-6Cc2,18,18,4,BIT,WETH
5ecf9033-2592-4c31-b3ba-bea5b90dbb0c,2023-05-06 19:34:35.009153,17203475,uniswap_v2 BALTO-8dBC/WETH-6Cc2 0.003,BALTO-8dBC/WETH-6Cc2,uniswap_v2,0.003,0.003,0x2c835F1c68d7f91c5E110Ea93cc2D0f7AFB3d86b,,0x5955f7d312c5d84B004d259D55072C4F0A478dBC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BALTO-8dBC,WETH-6Cc2,18,18,3,BALTO,WETH
5edcaecb-a3c7-47f7-aa79-8e5a65907d56,2023-05-06 19:46:42.248295,17203475,uniswap_v2 MPH-35C5/WETH-6Cc2 0.003,MPH-35C5/WETH-6Cc2,uniswap_v2,0.003,0.003,0x4D96369002fc5b9687ee924d458A7E5bAa5df34E,,0x8888801aF4d980682e47f1A9036e589479e835C5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,MPH-35C5,WETH-6Cc2,18,18,3,MPH,WETH
5efe2bb8-6119-4c5c-b255-887bc685d10f,2023-05-06 19:27:56.408075,17203475,uniswap_v2 wSIENNA-64f9/WETH-6Cc2 0.003,wSIENNA-64f9/WETH-6Cc2,uniswap_v2,0.003,0.003,0xB8207f870CE0083334675b2EfcA8E3Ba7cAd68De,,0x9b00e6E8D787b13756eb919786c9745054DB64f9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,wSIENNA-64f9,WETH-6Cc2,18,18,3,wSIENNA,WETH
5f001952-1f61-418b-bfd7-971662b0958d,2023-05-06 19:19:42.532116,17203475,uniswap_v3 PRVG-8E3d/WETH-6Cc2 3000,PRVG-8E3d/WETH-6Cc2,uniswap_v3,3000.0,0.003,0xE22052A1e89E4A9e0158671C355affdaDF8bacD1,,0x2Ec3275f7aCe4044e499823F511cd58250be8E3d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,PRVG-8E3d,WETH-6Cc2,8,18,4,PRVG,WETH
5f1237bb-030e-4c4d-97c3-cf5dfe2a4f79,2023-05-06 19:39:47.868136,17203475,uniswap_v2 BRIGHT-af55/WETH-6Cc2 0.003,BRIGHT-af55/WETH-6Cc2,uniswap_v2,0.003,0.003,0xF4835af5387fAb6bbC59f496CbCFa92998469B7B,,0xBEaB712832112bd7664226db7CD025B153D3af55,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BRIGHT-af55,WETH-6Cc2,18,18,3,BRIGHT,WETH
5f15d474-e65b-47f0-bed1-d98d8d4db6c6,2023-05-06 19:37:28.418161,17203475,uniswap_v2 SARCO-F51A/WETH-6Cc2 0.003,SARCO-F51A/WETH-6Cc2,uniswap_v2,0.003,0.003,0x8d3C9f4d0A8dbb6D5E2068AC36719290f7988Cc1,,0x7697B462A7c4Ff5F8b55BDBC2F4076c2aF9cF51A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,SARCO-F51A,WETH-6Cc2,18,18,3,SARCO,WETH
5f25c192-996a-46d7-9b23-1892314c591a,2023-05-06 19:22:05.243211,17203475,uniswap_v3 FLP-BcD3/WETH-6Cc2 3000,FLP-BcD3/WETH-6Cc2,uniswap_v3,3000.0,0.003,0xd0078d1d600C096174CD0FD697E4e4a7262De419,,0x3a1Bda28AdB5B0a812a7CF10A1950c920F79BcD3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,FLP-BcD3,WETH-6Cc2,18,18,4,FLP,WETH
5f33a798-dc8a-4207-b98e-9b3e71b3bafa,2023-05-06 19:29:40.520537,17203475,uniswap_v2 MAGIC-Ac9A/WETH-6Cc2 0.003,MAGIC-Ac9A/WETH-6Cc2,uniswap_v2,0.003,0.003,0x8C56ca4F7Eb12A7C217bBe36cC427a9dcB66f590,,0xB0c7a3Ba49C7a6EaBa6cD4a96C55a1391070Ac9A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,MAGIC-Ac9A,WETH-6Cc2,18,18,3,MAGIC,WETH
5f38d373-9b26-4f53-95a3-35983a70b862,2023-05-06 19:40:21.033983,17203475,uniswap_v2 ICHI-A881/WETH-6Cc2 0.003,ICHI-A881/WETH-6Cc2,uniswap_v2,0.003,0.003,0xd07D430Db20d2D7E0c4C11759256adBCC355B20C,,0x903bEF1736CDdf2A537176cf3C64579C3867A881,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ICHI-A881,WETH-6Cc2,9,18,3,ICHI,WETH
