exchange_name,chain,fork,factory_address,router_address,fee,start_block,active
carbon_v1,ethereum,carbon_v1,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NA,17087375,
altered_carbon,ethereum,carbon_v1,0xA31ac5a9077d8EE58F4cd0011C315552De29542B,0xA31ac5a9077d8EE58F4cd0011C315552De29542B,NA,19375311,
fraxswap_v2,ethereum,uniswap_v2,0x43eC799eAdd63848443E2347C49f5f52e8Fe0F6f,0xC14d550632db8592D1243Edc8B95b0Ad06703867,,,
pancakeswap_v2,ethereum,uniswap_v2,0x1097053Fd2ea711dad45caCcc45EfF7548fCB362,0xEfF92A263d31888d860bD50809A8D171709b7b1c,0.0025,15614590,
pancakeswap_v3,ethereum,uniswap_v3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x1b81D678ffb9C0263b24A97847620C99d213eB14,NA,16950686,
sushiswap_v2,ethereum,uniswap_v2,0xC0AEe478e3658e2610c5F7A4A2E1777cE9e4f2Ac,0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F,0.003,10794229,
sushiswap_v3,ethereum,uniswap_v3,0xbACEB8eC6b9355Dfc0269C18bac9d6E2Bdc29C4F,0x2E6cd2d30aa43f40aa81619ff4b6E0a41479B13F,NA,16955547,
uniswap_v2,ethereum,uniswap_v2,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0.003,10000835,
uniswap_v3,ethereum,uniswap_v3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xE592427A0AEce92De3Edee1F18E0157C05861564,NA,12369621,
beethovenx,fantom,balancer,BALANCER_VAULT_ADDRESS,0x20dd72Ed959b6147912C2e529F0a0C651c33c9ce,,,
carbon_v1,fantom,carbon_v1,0xf37102e11E06276ac9D393277BD7b63b3393b361,0xf37102e11E06276ac9D393277BD7b63b3393b361,,,
equalizer_v2,fantom,solidly_v2,0xc6366EFD0AF1d09171fe0EBF32c7943BB310832a,0x2aa07920E4ecb4ea8C801D9DFEce63875623B285,,50434430,
fraxswap_v2,fantom,uniswap_v2,0xDc745E09fC459aDC295E2e7baACe881354dB7F64,0x7D21C651Dd333306B35F2FeAC2a19FA1e1241545,,50836492,FALSE
hyperjump_v2,fantom,uniswap_v2,0x991152411A7B5A14A8CF0cDDE8439435328070dF,0x53c153a0df7E050BbEFbb70eE9632061f12795fB,0.002,3812189,
knightswap_v2,fantom,uniswap_v2,0x7d82F56ea0820A9d42b01C3C28F1997721732218,0x045312C737a6b7a115906Be0aD0ef53A6AA38106,0.002,23075590,
soulswap_v2,fantom,uniswap_v2,0x1120e150dA9def6Fe930f4fEDeD18ef57c0CA7eF,0x6b3d631B87FE27aF29efeC61d2ab8CE4d621cCBF,0.002,16108819,
spookyswap_v2,fantom,uniswap_v2,0x152eE697f2E276fA89E96742e9bB9aB1F2E61bE3,0xF491e7B69E4244ad4002BC14e878a34207E38c29,0.002,3795376,
sushiswap_v2,fantom,uniswap_v2,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0.003,2457879,
sushiswap_v3,fantom,uniswap_v3,0x7770978eED668a3ba661d51a773d3a992Fc9DDCB,N/A,NA,58860670,FALSE
velocimeter_v2,fantom,solidly_v2,0x472f3C3c9608fe0aE8d702f3f8A2d12c410C881A,0x2E14B53E2cB669f3A974CeaF6C735e134F3Aa9BC,0.002,64965166,
wigoswap_v2,fantom,uniswap_v2,0xC831A5cBfb4aC2Da5ed5B194385DFD9bF5bFcBa7,0x5023882f4D1EC10544FCB2066abE9C1645E95AA0,0.0019,28898932,
sushiswap_v3,filecoin,uniswap_v3,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,N/A,,,
sushiswap_v2,fuse,uniswap_v2,0x43eA90e2b786728520e4f930d2A71a477BF2737C,0xF4d73326C13a4Fc5FD7A064217e12780e9Bd62c3,0.003,0,
sushiswap_v3,fuse,uniswap_v3,0x1b9d177CcdeA3c79B6c8F40761fc8Dc9d0500EAa,N/A,,,
sushiswap_v2,gnosis,uniswap_v2,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0.003,0,
