,pair,pair_reverse,exchange_name,exchange,address,address0,address1,symbol0,symbol1,fee,decimal0,decimal1,exchange_version,exchange_id,exchange_type,anchor
87,BNT_BBS,BBS_BNT,bancor,bancor_v2,0xD591d1A290f9a2B8daFDb9248b9e34E8d8619645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xFe459828c90c0BA4bC8b42F5C5D44F316700B430,BNT,BBS,0.002,18,18,v2,1,Constant Product Pool,0x0dcA718541EBC4E50eB4D143bE9A99f353b457F5
88,BNT_BMI,BMI_BNT,bancor,bancor_v2,0x5505cF19fEFBFaE5D6405949Ff673fcCF483126D,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x725C263e32c72dDC3A19bEa12C5a0479a81eE688,BNT,BMI,0.01,18,18,v2,1,Constant Product Pool,0xF3A221a9C4e4A06404Fb9848dCF3411b9517310B
89,BNT_BORING,BORING_BNT,bancor,bancor_v2,0x6c9C4D90d47D25e74f069d4D20e989b84Ed83Edf,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xBC19712FEB3a26080eBf6f2F7849b417FdD792CA,BNT,BORING,0.003,18,18,v2,1,Constant Product Pool,0x767B7e151D66a90B9539a02709361D711bdDfC04
90,COMP_BNT,BNT_COMP,bancor,bancor_v2,0xCccd215ec03a8EBfA24f82Bd0CAB56178a18Bf18,0xc00e94Cb662C3520282E6f5717214004A7f26888,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,COMP,BNT,0.002,18,18,v2,1,Constant Product Pool,0xB4c5BC0d1d41F3440c580A0F52B6641E4A913Df4
91,BNT_COT,COT_BNT,bancor,bancor_v2,0xfc57bB839b3c35650f0383A0B15541ffE99e5652,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x5c872500c00565505F3624AB435c222E558E9ff8,BNT,COT,0.03,18,18,v2,1,Constant Product Pool,0x19dB077A54dEa3fD4CBCd9d31D4dB297562CbD94
92,BNT_DAO,DAO_BNT,bancor,bancor_v2,0x1a3035A576637dC60a333BC78DCc21126C1515d9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0f51bb10119727a7e5eA3538074fb341F56B09Ad,BNT,DAO,0.002,18,18,v2,1,Constant Product Pool,0x594640edDa48dae40DC5424B0A0362326b8DE138
93,BNT_DAPP,DAPP_BNT,bancor,bancor_v2,0xD3840a74e6111F3D37A93dd67673F3de136E598A,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x939B462ee3311f8926c047D2B576C389092b1649,BNT,DAPP,0.002,18,4,v2,1,Constant Product Pool,0x33A23d447De16a8Ff802c9Fcc917465Df01A3977
94,BNT_DATA,DATA_BNT,bancor,bancor_v2,0xb068bfEA5Ab7852FE437E361E73963900a96FA71,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x8f693ca8D21b157107184d29D398A8D082b38b76,BNT,DATA,0.002,18,18,v2,1,Constant Product Pool,0x4e79b3495b036e0720655CDF68E7E686B8276F89
95,BNT_DDX,DDX_BNT,bancor,bancor_v2,0xAa869d9C3BeE6a732819986A7193eA16E02BD1fe,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x3A880652F47bFaa771908C07Dd8673A787dAEd3A,BNT,DDX,0.01,18,18,v2,1,Constant Product Pool,0x862cD784f9b216f4c0C25b6Bd6Df0B0097060445
96,BNT_DEXE,DEXE_BNT,bancor,bancor_v2,0xd826AF646CD3420510D0731C8CEE06dF21D132EA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6,BNT,DEXE,0.002,18,18,v2,1,Constant Product Pool,0xD1960166f1Fda11d4aF81a3E197F1efE5FC30f79
97,BNT_DIP,DIP_BNT,bancor,bancor_v2,0x931D1bF09f81B426fBe4CFDFab0b825b308c8db1,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc719d010B63E5bbF2C0551872CD5316ED26AcD83,BNT,DIP,0.002,18,18,v2,1,Constant Product Pool,0xCCd7f15180fCBB6Daa433c1627Ad59049B0D070B
98,BNT_DRC,DRC_BNT,bancor,bancor_v2,0x67ebF3818E399992CD09e49143141622fED85342,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa150Db9b1Fa65b44799d4dD949D922c0a33Ee606,BNT,DRC,0.002,18,0,v2,1,Constant Product Pool,0x8BB452672224540129EACfa7Cf56310bc4C5A75A
99,BNT_DUSK,DUSK_BNT,bancor,bancor_v2,0xCcCc18d87D33EB164AbdD21F7bCb0A51CA9Dad6B,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x940a2dB1B7008B6C776d4faaCa729d6d4A4AA551,BNT,DUSK,0.002,18,18,v2,1,Constant Product Pool,0x042F44948D0639564c915025009F3B48E162887E
100,DXD_BNT,BNT_DXD,bancor,bancor_v2,0xf20945FabEA49511671895d91DF9A4a4e1be4d12,0xa1d65E8fB6e87b60FECCBc582F7f97804B725521,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,DXD,BNT,0.01,18,18,v2,1,Constant Product Pool,0xB3aF30c0c1a9673E14c9B0C56eCd4cBBeB0F6c48
101,BNT_EDEN,EDEN_BNT,bancor,bancor_v2,0x3870Ce6642959E3D844837Fd472E717736E06AAe,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x1559FA1b8F28238FD5D76D9f434ad86FD20D1559,BNT,EDEN,0.002,18,18,v2,1,Constant Product Pool,0x36Bf0258Bf24f8066A7D486a7d376265b07a7b5f
102,BNT_ENJ,ENJ_BNT,bancor,bancor_v2,0xFe42619e3f6547188e2ed10280176B9e4FAe0c6c,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,BNT,ENJ,0.005,18,18,v2,1,Constant Product Pool,0xf3aD2cBc4276eb4B0fb627Af0059CfcE094E20a1
103,BNT_eRSDL,eRSDL_BNT,bancor,bancor_v2,0x2eE4b38A3AfED00b66f45ad3A849D091D7aaCcCb,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x5218E472cFCFE0b64A064F055B43b4cdC9EfD3A6,BNT,eRSDL,0.002,18,18,v2,1,Constant Product Pool,0x1D3E13199e403eE1c1193549f2B257efde9Bb69A
104,BNT_FARM,FARM_BNT,bancor,bancor_v2,0x93334ab8a64B24DF7b2fD2132E0e087239A21B63,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa0246c9032bC3A600820415aE600c6388619A14D,BNT,FARM,0.002,18,18,v2,1,Constant Product Pool,0x4bA657a5086DFa3698884d82A94564629885b7d6
105,BNT_FODL,FODL_BNT,bancor,bancor_v2,0x043CA1F3Aa6939041e57d6Eb7811Cf5C6e56827E,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x4C2e59D098DF7b6cBaE0848d66DE2f8A4889b9C3,BNT,FODL,0.003,18,18,v2,1,Constant Product Pool,0x83ef55Db6D98cf6097F464F307e461d0a37b0A77
106,BNT_FRM,FRM_BNT,bancor,bancor_v2,0x05A3609ecB880760fe5392b8F37c3c6C70144D0C,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xE5CAeF4Af8780E59Df925470b050Fb23C43CA68C,BNT,FRM,0.002,18,6,v2,1,Constant Product Pool,0x6F239e3f2616700D1f3a294b122145B6567C8801
107,BNT_GNO,GNO_BNT,bancor,bancor_v2,0xF49D2fDa023d2cB895408f6DB1665382Fb96Be19,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96,BNT,GNO,0.005,18,18,v2,1,Constant Product Pool,0xd7eB9DB184DA9f099B84e2F86b1da1Fe6b305B3d
