,pair,pair_reverse,exchange_name,exchange,address,address0,address1,symbol0,symbol1,fee,decimal0,decimal1,exchange_version,exchange_id,exchange_type,anchor
145,BNT_SFI,SFI_BNT,bancor,bancor_v2,0x05b70Ff7a53aF78dd6265183d2B70605E98DeC03,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xb753428af26E81097e7fD17f40c88aaA3E04902c,BNT,SFI,0.002,18,18,v2,1,Constant Product Pool,0x0DF96DC40376EA6082Dd8c91aEaf4A70212153C7
146,BNT_SHEESHA,SHEESHA_BNT,bancor,bancor_v2,0xB521525b2E6Ad8Ef4c03E747B4541F366E5b8035,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x232FB065D9d24c34708eeDbF03724f2e95ABE768,BNT,SHEESHA,0.002,18,18,v2,1,Constant Product Pool,0x2a1b07Adf22FfBed2B965Be3DDc550735e6a1e57
147,SNX_BNT,BNT_SNX,bancor,bancor_v2,0xb0536a57a8D8f5327C62d0fECbA23C5a27b5118b,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,SNX,BNT,0.01,18,18,v2,1,Constant Product Pool,0xAdAA88CA9913f2d6F8Caa0616Ff01eE8D4223fde
148,BNT_TEMP,TEMP_BNT,bancor,bancor_v2,0xcd0600E58e5d11043687E9163029Ad7Bb8D996B7,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xA36FDBBAE3c9d55a1d67EE5821d53B50B63A1aB9,BNT,TEMP,0.002,18,18,v2,1,Constant Product Pool,0x665828569D28E2971eB3a7D955bEC09BBeF88566
149,BNT_TRAC,TRAC_BNT,bancor,bancor_v2,0x987Caf390Fc5100dA6db7e8Ec4b651Cd3b61bc32,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xaA7a9CA87d3694B5755f213B5D04094b8d0F0A6F,BNT,TRAC,0.02,18,18,v2,1,Constant Product Pool,0x0D0959E2F6BE7bA6a0B5ec6c98C1dceBC2845012
150,UNI_BNT,BNT_UNI,bancor,bancor_v2,0x079cA3f710599739a22673c2856202F90D3A8806,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,UNI,BNT,0.002,18,18,v2,1,Constant Product Pool,0x8b3082e273E4B923830c637a203c1C1D963cA307
151,BNT_UOS,UOS_BNT,bancor,bancor_v2,0xCA45030C17924fc1F8A268623f1F473A60aBf8eb,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xD13c7342e1ef687C5ad21b27c2b65D772cAb5C8c,BNT,UOS,0.002,18,4,v2,1,Constant Product Pool,0x6B68Ef5e3cef38E2B3e57FACAB24223903e47e24
152,USDC_BNT,BNT_USDC,bancor,bancor_v2,0x23d1b2755d6C243DFa9Dd06624f1686b9c9E13EB,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,USDC,BNT,0.01,6,18,v2,1,Constant Product Pool,0x874d8dE5b26c9D9f6aA8d7bab283F9A9c6f777f4
153,BNT_vBNT,vBNT_BNT,bancor,bancor_v2,0x8d06AFd8E322d39Ebaba6DD98f17a0ae81C875b8,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x48Fb253446873234F2fEBbF9BdeAA72d9d387f94,BNT,vBNT,0.015,18,18,v2,1,Constant Product Pool,0x3D9E2dA44Af9386484d0D35C29eB62122e4F4742
154,BNT_VITA,VITA_BNT,bancor,bancor_v2,0x7B96138d36895e5e68d93561D24465e66E827206,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x81f8f0bb1cB2A06649E51913A151F0E7Ef6FA321,BNT,VITA,0.002,18,18,v2,1,Constant Product Pool,0xe8dF08526cbdfB8187f3656F8FAB90Ed015830BF
155,BNT_VLX,VLX_BNT,bancor,bancor_v2,0xe345e2F93C28eC6AC2fef45Eb1A9FC715601355A,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x8C543AED163909142695f2d2aCd0D55791a9Edb9,BNT,VLX,0.002,18,18,v2,1,Constant Product Pool,0x57655d5FD4d1c23006f710743250F153778Fd7bd
156,BNT_WBTC,WBTC_BNT,bancor,bancor_v2,0xCBA47689202d31575bfa204efE70e2C83d29dA4D,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,BNT,WBTC,0.002,18,8,v2,1,Constant Product Pool,0xFEE7EeaA0c2f3F7C7e6301751a8dE55cE4D059Ec
157,wNXM_BNT,BNT_wNXM,bancor,bancor_v2,0x5A29f970788F3494f6350207fc91DaD0d6e8C184,0x0d438F3b5175Bebc262bF23753C1E53d03432bDE,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,wNXM,BNT,0.01,18,18,v2,1,Constant Product Pool,0x75aB5e15129BBBEcB5C5Fdb71d1ff7D5dA97d56c
158,BNT_WOO,WOO_BNT,bancor,bancor_v2,0xc51bDa643AFBCf2D5c97678a1AbB825f48BF53d8,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x4691937a7508860F876c9c0a2a617E7d9E945D4B,BNT,WOO,0.002,18,18,v2,1,Constant Product Pool,0x30c6fE4D0526C5c6707d7E2EBbD4fFbBdce1728C
159,BNT_wstETH,wstETH_BNT,bancor,bancor_v2,0xADd45B18153382D69AB5A13c44d1782B8f3aDEEc,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,BNT,wstETH,0.002,18,18,v2,1,Constant Product Pool,0xB2607CB158bc222DD687e4D794c607B5ce983Ce2
160,BNT_WXT,WXT_BNT,bancor,bancor_v2,0x4F1b9f5eaa5D6B6Db0580170FCe6325DBE832BbF,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa02120696c7B8fE16C09C749E4598819b2B0E915,BNT,WXT,0.002,18,18,v2,1,Constant Product Pool,0x4B5D4DdbfB85664326f4717C2e2eC2fC17B3E302
161,YFI_BNT,BNT_YFI,bancor,bancor_v2,0x555981B82743aa443cB1c3002c85Ba9d795D4596,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,YFI,BNT,0.002,18,18,v2,1,Constant Product Pool,0xAeB3a1AeD77b5D6e3feBA0055d79176532e5cEb8
162,BNT_ZCN,ZCN_BNT,bancor,bancor_v2,0x22615044bb10521828845A06ec2176800A3c4B5E,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xb9EF770B6A5e12E45983C5D80545258aA38F3B78,BNT,ZCN,0.005,18,10,v2,1,Constant Product Pool,0x43bE7B715c6B39eADd18CF14ce493878321673bC
163,ZRX_BNT,BNT_ZRX,bancor,bancor_v2,0xfc2Fc1217FcE8EC9191F2F2D0e813602a1b90526,0xE41d2489571d322189246DaFA5ebDe1F4699F498,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,ZRX,BNT,0.002,18,18,v2,1,Constant Product Pool,0xa09B58ECeFA3a5d3736Ba9E2E002ca566Adf08eb
164,BNT_LYRA,LYRA_BNT,bancor,bancor_v2,0x8F76bc0646bbD6D87Da5f5D0b183dAE3174c6Ee2,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x01BA67AAC7f75f647D94220Cc98FB30FCc5105Bf,BNT,LYRA,0.002,18,18,v2,1,Constant Product Pool,0x1e45932E16A8dE865824B366e4142eD45D20ede1
165,OCEAN_BNT,BNT_OCEAN,bancor,bancor_v2,0x5a7BB6aDF00A1d6284773887fCAdce079c636567,0x967da4048cD07aB37855c090aAF366e4ce1b9F48,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,OCEAN,BNT,0.005,18,18,v2,1,Constant Product Pool,0xCDfF066eDf8a770E9b6A7aE12F7CFD3DbA0011B5
166,BNT_USDT,USDT_BNT,bancor,bancor_v2,0x79D89b87468a59B9895b31E3a373DC5973d60065,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdAC17F958D2ee523a2206206994597C13D831ec7,BNT,USDT,0.01,18,6,v2,1,Constant Product Pool,0x5365B5BC56493F08A38E5Eb08E36cBbe6fcC8306
