id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor
5693,7486212072260646196194241363498900652071,2023-06-02 02:49:24.334056,17390202,NaN,LYXe-be6D/USDC-eB48,carbon_v1,0.002,0.002,,,7503700798507554270523,7503700798507554270523,0,5334985036791808,0,0,0,0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5694,0x6ab5ee95dba8cef2518f7762de14cf4b84346291e903dd60056fb938a4d0dbb7,2023-06-02 02:48:50.110667,17390200,uniswap_v2 USDC-eB48/USDT-1ec7 0.003,USDC-eB48/USDT-1ec7,uniswap_v2,0.003,0.003,11451043044666,11470547631737,,,,,,,,,0,,,,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,NaN
5695,0x5fe5fa0d193a05d94380c731064b92fffcf08f16b5f3d522448c7a1172443951,2023-06-02 02:48:51.033071,17390200,uniswap_v3 rETH-6393/WETH-6Cc2 3000,rETH-6393/WETH-6Cc2,uniswap_v3,3000,0.003,,,,,,,,,,,82144950240224911755224962700,723,60,11313829543667906643,0xf0E02Cf61b31260fd5AE527d58Be16312BDA59b1,NaN
5696,1701411834604692317316873037158841057285,2023-06-02 02:47:59.826935,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,6039951546952498,6039951546952498,0,4409572391052980,11717506,0,0,12397686690,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5697,1701411834604692317316873037158841057292,2023-06-02 02:48:00.539772,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,19703539387325172,19703539387325172,2684113799954624,4411844567835374,18000000,0,32676704,12106696520,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5698,0x2c07bfb5626e666d9a692442a4c9c310b771980976719faf6461667806e022d7,2023-06-02 02:48:51.946575,17390200,uniswap_v3 DAI-1d0F/USDC-eB48 3000,DAI-1d0F/USDC-eB48,uniswap_v3,3000,0.003,,,,,,,,,,,79290385293469705783288,-276309,60,43171229352751601,0xa63b490aA077f541c9d64bFc1Cc0db2a752157b5,NaN
5699,1701411834604692317316873037158841057296,2023-06-02 02:48:01.252813,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,0,0,0,4416648363926356,0,0,0,12365692607,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5700,0x96297d900179750b4da240393263956f530c4915558a2a3622c259e53c101522,2023-06-02 02:48:52.886163,17390200,uniswap_v3 CVX-9D2B/USDC-eB48 10000,CVX-9D2B/USDC-eB48,uniswap_v3,10000,0.01,,,,,,,,,,,184657023849718539882119,-259400,200,640129416688,0x575e96f61656b275CA1e0a67d9B68387ABC1d09C,NaN
5701,1701411834604692317316873037158841057299,2023-06-02 02:48:01.964139,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,26117229020994980,26117229020994980,2721923874144320,4414201427359729,50000000,0,93278858,12269209786,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5702,0x8adf75b03d87eec9b746d54c2b4a8ca6d813437b04b632440de5366d4a56bd20,2023-06-02 02:48:53.822141,17390200,uniswap_v3 USDC-eB48/USDT-1ec7 100,USDC-eB48/USDT-1ec7,uniswap_v3,100,0.0001,,,,,,,,,,,79222350538560938781699328876,-2,1,583445264701123743,0x3416cF6C708Da44DB2624D63ea0AAef7113527C6,NaN
