id,name,tkn0_address,tkn1_address,tkn0_key,tkn1_key
31,BNT-FF1C/MFG-0312,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6710c63432A2De02954fc0f851db07146a6c0312,BNT-FF1C,MFG-0312
32,BNT-FF1C/UOS-5C8c,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xD13c7342e1ef687C5ad21b27c2b65D772cAb5C8c,BNT-FF1C,UOS-5C8c
33,BNT-FF1C/AAVE-DaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,BNT-FF1C,AAVE-DaE9
34,BNT-FF1C/BAT-87EF,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,BNT-FF1C,BAT-87EF
35,BNT-FF1C/BNT-FF1C,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,BNT-FF1C,BNT-FF1C
36,BNT-FF1C/CHZ-b4AF,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,BNT-FF1C,CHZ-b4AF
37,BNT-FF1C/DAI-1d0F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6B175474E89094C44Da98b954EedeAC495271d0F,BNT-FF1C,DAI-1d0F
38,BNT-FF1C/ENJ-3B9c,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,BNT-FF1C,ENJ-3B9c
39,BNT-FF1C/ENS-9D72,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,BNT-FF1C,ENS-9D72
40,BNT-FF1C/GRT-44a7,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,BNT-FF1C,GRT-44a7
41,BNT-FF1C/ICHI-C4d6,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x111111517e4929D3dcbdfa7CCe55d30d4B6BC4d6,BNT-FF1C,ICHI-C4d6
42,BNT-FF1C/LINK-86CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x514910771AF9Ca656af840dff83E8264EcF986CA,BNT-FF1C,LINK-86CA
43,BNT-FF1C/MANA-C942,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,BNT-FF1C,MANA-C942
44,BNT-FF1C/MATIC-eBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,BNT-FF1C,MATIC-eBB0
45,BNT-FF1C/MKR-79A2,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,BNT-FF1C,MKR-79A2
46,BNT-FF1C/OCEAN-9F48,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x967da4048cD07aB37855c090aAF366e4ce1b9F48,BNT-FF1C,OCEAN-9F48
47,BNT-FF1C/QNT-4675,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x4a220E6096B25EADb88358cb44068A3248254675,BNT-FF1C,QNT-4675
