cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange,strategy_id
,,0,uniswap_v3 WETH-6Cc2/wCFG-34F0 10000,WETH-6Cc2/wCFG-34F0,uniswap_v3,10000.0,0.01,0x05f63dc38bfeb686ca68B9D237b192cB43067Ce0,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc221b7E65FfC80DE234bbB6667aBDd46593D34F0,WETH-6Cc2,wCFG-34F0,18,18,4.0,WETH,wCFG,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/WAMPL-49Ef 3000,WETH-6Cc2/WAMPL-49Ef,uniswap_v3,3000.0,0.003,0x1EeC74d40f6E53F888A5d89ff6Ae2cE0b683Be01,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xEDB171C18cE90B633DB442f2A6F72874093b49Ef,WETH-6Cc2,WAMPL-49Ef,18,18,4.0,WETH,WAMPL,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/WACME-1170 10000,WETH-6Cc2/WACME-1170,uniswap_v3,10000.0,0.01,0xDc6E8DF5D9A3320b20e2f1A012eA2dc69938405f,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xDF4Ef6EE483953fE3B84ABd08C6A060445c01170,WETH-6Cc2,WACME-1170,18,8,4.0,WETH,WACME,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/VRA-7255 3000,WETH-6Cc2/VRA-7255,uniswap_v3,3000.0,0.003,0x98409d8CA9629FBE01Ab1b914EbF304175e384C8,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF411903cbC70a74d22900a5DE66A2dda66507255,WETH-6Cc2,VRA-7255,18,18,4.0,WETH,VRA,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/VOLT-9b25 10000,WETH-6Cc2/VOLT-9b25,uniswap_v3,10000.0,0.01,0x9D77a98501902047612030e114b61B0252b27985,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xfFbF315f70E458e49229654DeA4cE192d26f9b25,WETH-6Cc2,VOLT-9b25,18,18,4.0,WETH,VOLT,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/VIDT-7Bb1 10000,WETH-6Cc2/VIDT-7Bb1,uniswap_v3,10000.0,0.01,0x6A6B3b4da056B1f19BaB9447865fCD3524067293,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xfeF4185594457050cC9c23980d301908FE057Bb1,WETH-6Cc2,VIDT-7Bb1,18,18,4.0,WETH,VIDT,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/vETH-21Ab 3000,WETH-6Cc2/vETH-21Ab,uniswap_v3,3000.0,0.003,0x1a8EAfb27821a90D009f9C18bD954155B5121fBD,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc3D088842DcF02C13699F936BB83DFBBc6f721Ab,WETH-6Cc2,vETH-21Ab,18,18,4.0,WETH,vETH,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/VEGA-bc6e 3000,WETH-6Cc2/VEGA-bc6e,uniswap_v3,3000.0,0.003,0xb42Eede6Ad429B38DA26817aeB163f216E34B7f8,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xcB84d72e61e383767C4DFEb2d8ff7f4FB89abc6e,WETH-6Cc2,VEGA-bc6e,18,18,4.0,WETH,VEGA,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/VAI-395c 10000,WETH-6Cc2/VAI-395c,uniswap_v3,10000.0,0.01,0x2B40201999d7bb40Def18EdE799966771CCcFc3B,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xD13cfD3133239a3c73a9E535A5c4DadEE36b395c,WETH-6Cc2,VAI-395c,18,18,,WETH,VAI,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/UWL-8Df5 10000,WETH-6Cc2/UWL-8Df5,uniswap_v3,10000.0,0.01,0x6a61CD16eC0c73b3855beEcc4C378dCbDB63f88e,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdbDD6F355A37b94e6C7D32fef548e98A280B8Df5,WETH-6Cc2,UWL-8Df5,18,18,4.0,WETH,UWL,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/USH-EC48 10000,WETH-6Cc2/USH-EC48,uniswap_v3,10000.0,0.01,0x600303821de37604EDC8b8554d98629624A10463,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE60779CC1b2c1d0580611c526a8DF0E3f870EC48,WETH-6Cc2,USH-EC48,18,18,,WETH,USH,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/USDT-1ec7 500,WETH-6Cc2/USDT-1ec7,uniswap_v3,500.0,0.0005,0x11b815efB8f581194ae79006d24E0d814B7697F6,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,WETH-6Cc2,USDT-1ec7,18,6,4.0,WETH,USDT,,,,,,,10.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/USDT-1ec7 3000,WETH-6Cc2/USDT-1ec7,uniswap_v3,3000.0,0.003,0x4e68Ccd3E89f51C3074ca5072bbAC773960dFa36,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,WETH-6Cc2,USDT-1ec7,18,6,4.0,WETH,USDT,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/USDT-1ec7 10000,WETH-6Cc2/USDT-1ec7,uniswap_v3,10000.0,0.01,0xC5aF84701f98Fa483eCe78aF83F11b6C38ACA71D,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,WETH-6Cc2,USDT-1ec7,18,6,4.0,WETH,USDT,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/UOS-5C8c 10000,WETH-6Cc2/UOS-5C8c,uniswap_v3,10000.0,0.01,0xE8b977aA5a9303fA94818441D78575e0f697aE72,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xD13c7342e1ef687C5ad21b27c2b65D772cAb5C8c,WETH-6Cc2,UOS-5C8c,18,4,4.0,WETH,UOS,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/UNV-A673 3000,WETH-6Cc2/UNV-A673,uniswap_v3,3000.0,0.003,0xc679a1aE54E8CfFD92B435120ffA91F9C738F31c,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf009f5531dE69067435e32c4b9D36077F4C4A673,WETH-6Cc2,UNV-A673,18,18,4.0,WETH,UNV,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/TURTLE-9adb 3000,WETH-6Cc2/TURTLE-9adb,uniswap_v3,3000.0,0.003,0xC274115fbC126CC6c14d724e529fcE64c9E7a60E,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf3AFDC2525568Ffe743801C8C54bdeA1704c9adb,WETH-6Cc2,TURTLE-9adb,18,18,,WETH,TURTLE,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/TTX-4D9B 3000,WETH-6Cc2/TTX-4D9B,uniswap_v3,3000.0,0.003,0xDE4d1AF93dd7e333D071411A3D68cb1Ae09bf4e3,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xeF2e239b21A81719abAabC6239e2e90859B44D9B,WETH-6Cc2,TTX-4D9B,18,18,4.0,WETH,TTX,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/TSUKA-69eD 10000,WETH-6Cc2/TSUKA-69eD,uniswap_v3,10000.0,0.01,0x62979dfF3B5eB032ECba1a5934d1fD4367bb695c,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc5fB36dd2fb59d3B98dEfF88425a3F425Ee469eD,WETH-6Cc2,TSUKA-69eD,18,9,4.0,WETH,TSUKA,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/TRU-276c 3000,WETH-6Cc2/TRU-276c,uniswap_v3,3000.0,0.003,0x2efeC2097beede290B2eED63e2FAf5ECbBC528FC,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf65B5C5104c4faFD4b709d9D60a185eAE063276c,WETH-6Cc2,TRU-276c,18,18,4.0,WETH,TRU,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/TRU-276c 10000,WETH-6Cc2/TRU-276c,uniswap_v3,10000.0,0.01,0x86E69D1AE728c9Cd229F07bBf34E01bF27258354,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf65B5C5104c4faFD4b709d9D60a185eAE063276c,WETH-6Cc2,TRU-276c,18,18,4.0,WETH,TRU,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/TRIBE-212B 3000,WETH-6Cc2/TRIBE-212B,uniswap_v3,3000.0,0.003,0xf87bb87fD9EA1C260ddf77B9c707aD9437fF8364,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc7283b66Eb1EB5FB86327f08e1B5816b0720212B,WETH-6Cc2,TRIBE-212B,18,18,4.0,WETH,TRIBE,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/TRIBE-212B 10000,WETH-6Cc2/TRIBE-212B,uniswap_v3,10000.0,0.01,0xE2c5D82523E0E767B83D78E2bFc6FcD74D1432Ef,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc7283b66Eb1EB5FB86327f08e1B5816b0720212B,WETH-6Cc2,TRIBE-212B,18,18,4.0,WETH,TRIBE,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/THX-4B31 3000,WETH-6Cc2/THX-4B31,uniswap_v3,3000.0,0.003,0x9758f2bf8e6f6ee89Bd71FB434D92C699dC89e30,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe632ea2eF2CFD8Fc4a2731C76F99078Aef6a4B31,WETH-6Cc2,THX-4B31,18,18,4.0,WETH,THX,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/THEO-eac2 10000,WETH-6Cc2/THEO-eac2,uniswap_v3,10000.0,0.01,0x1FC037AC35AF9b940E28e97C2FAF39526Fbb4556,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xfAc0403a24229d7e2Edd994D50F5940624CBeac2,WETH-6Cc2,THEO-eac2,18,9,4.0,WETH,THEO,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/TEXAN-88d7 10000,WETH-6Cc2/TEXAN-88d7,uniswap_v3,10000.0,0.01,0xB1a19FafA68dF18e63C73A1d14283887dB051c71,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xcFCFfE432A48dB53F59c301422d2EdD77B2A88d7,WETH-6Cc2,TEXAN-88d7,18,18,4.0,WETH,TEXAN,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/T-beE5 10000,WETH-6Cc2/T-beE5,uniswap_v3,10000.0,0.01,0x286EB8405231A2201FCb75b6e33098A546216C86,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xCdF7028ceAB81fA0C6971208e83fa7872994beE5,WETH-6Cc2,T-beE5,18,18,4.0,WETH,T,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/SWK-2919 10000,WETH-6Cc2/SWK-2919,uniswap_v3,10000.0,0.01,0x7d60220578D99dcE0F0F59cB1368787B8dBB312B,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdDFbE9173c90dEb428fdD494cB16125653172919,WETH-6Cc2,SWK-2919,18,18,,WETH,SWK,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/swETH-Ed78 500,WETH-6Cc2/swETH-Ed78,uniswap_v3,500.0,0.0005,0x30eA22C879628514f1494d4BBFEF79D21A6B49A2,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf951E335afb289353dc249e82926178EaC7DEd78,WETH-6Cc2,swETH-Ed78,18,18,,WETH,swETH,,,,,,,10.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/SWAP-4EFe 3000,WETH-6Cc2/SWAP-4EFe,uniswap_v3,3000.0,0.003,0xF5906bFD9406C45061Dc67F774da440d169b84d0,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xCC4304A31d09258b0029eA7FE63d032f52e44EFe,WETH-6Cc2,SWAP-4EFe,18,18,4.0,WETH,SWAP,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/SWAP-4EFe 10000,WETH-6Cc2/SWAP-4EFe,uniswap_v3,10000.0,0.01,0x76D8938c96e8aBfB44db042091131B7e9A63189c,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xCC4304A31d09258b0029eA7FE63d032f52e44EFe,WETH-6Cc2,SWAP-4EFe,18,18,4.0,WETH,SWAP,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/SURE-416E 3000,WETH-6Cc2/SURE-416E,uniswap_v3,3000.0,0.003,0x119f33C3266DD5eD81A9Db08d5033d4052E1e145,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xcb86c6A22CB56B6cf40CaFEDb06BA0DF188a416E,WETH-6Cc2,SURE-416E,18,18,4.0,WETH,SURE,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/STRNGR-CF38 10000,WETH-6Cc2/STRNGR-CF38,uniswap_v3,10000.0,0.01,0x3B39AD010bfeBdcB562926a1D833b08A8537540B,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xDc0327D50E6C73db2F8117760592C8BBf1CDCF38,WETH-6Cc2,STRNGR-CF38,18,18,4.0,WETH,STRNGR,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/SPRING-d4FE 10000,WETH-6Cc2/SPRING-d4FE,uniswap_v3,10000.0,0.01,0x2B9431d1BB33D0e0635275F68Fbd6ac72d8f4342,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf04aF3f4E4929F7CD25A751E6149A3318373d4FE,WETH-6Cc2,SPRING-d4FE,18,18,4.0,WETH,SPRING,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/SOL-b89c 3000,WETH-6Cc2/SOL-b89c,uniswap_v3,3000.0,0.003,0x127452F3f9cDc0389b0Bf59ce6131aA3Bd763598,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xD31a59c85aE9D8edEFeC411D448f90841571b89c,WETH-6Cc2,SOL-b89c,18,9,4.0,WETH,SOL,,,,,,,60.0,uniswap_v3,0
