cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,0
20a7d6d6-bec5-4ada-b033-298034bffde2,2023-05-06 19:31:27.265524,17280337,uniswap_v2 WETH-6Cc2/CURRY-de77 0.003,WETH-6Cc2/CURRY-de77,uniswap_v2,0.003,0.003,0x74b745eC3a087a3B9a82EB9594E747B4FA0DB11A,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc2D3AE29c8309c14994D02Ecd228cf86f3Efde77,WETH-6Cc2,CURRY-de77,18.0,18.0,3,WETH,CURRY,15:33:01,28939689851908461082,4014855874704286317274884,,,,
20b2cc2e-c3e7-4cde-bef6-442256bc7445,2023-05-06 19:46:32.906565,0,uniswap_v2 NRG-2069/WETH-6Cc2 0.003,NRG-2069/WETH-6Cc2,uniswap_v2,0.003,0.003,0x5cD0DbA2365c35620D6Cb938385a029199a9A293,,0x1416946162B1C2c871A73B07E932D2fB6C932069,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,NRG-2069,WETH-6Cc2,18.0,18.0,3,NRG,WETH,,,,,,,
20b70abc-d48c-4477-99db-f37f24bd6070,2023-05-06 19:02:25.989495,0,uniswap_v3 ICHI-C4d6/WBTC-C599 100,ICHI-C4d6/WBTC-C599,uniswap_v3,100.0,0.0001,0x14b49FE0Aeca3BEABFEE01B16900322313089681,,0x111111517e4929D3dcbdfa7CCe55d30d4B6BC4d6,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,ICHI-C4d6,WBTC-C599,18.0,8.0,4,ICHI,WBTC,,,,,,,
20bac42d-a16f-4ff1-8009-bd97fd1399df,2023-05-06 19:12:41.901813,0,uniswap_v3 IGG-caeA/WETH-6Cc2 3000,IGG-caeA/WETH-6Cc2,uniswap_v3,3000.0,0.003,0x5654b1dd37Af02f327D98C04B72aCDF01ba2835c,,0x8FfE40A3D0f80C0CE6b203D5cDC1A6a86d9AcaeA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,IGG-caeA,WETH-6Cc2,6.0,18.0,4,IGG,WETH,,,,,,,
20c57d67-abf7-4110-b4a9-bb20a8737d4e,2023-05-06 19:15:13.700509,0,uniswap_v3 DRGN-A05E/USDC-eB48 10000,DRGN-A05E/USDC-eB48,uniswap_v3,10000.0,0.01,0x63BDFE1166c2d518879DFe42aF6C3Fa2c6A70619,,0x419c4dB4B9e25d6Db2AD9691ccb832C8D9fDA05E,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,DRGN-A05E,USDC-eB48,18.0,6.0,4,DRGN,USDC,,,,,,,
20d96cc6-486a-4f19-8a27-334e1a2f1106,2023-05-06 19:30:27.523988,0,uniswap_v2 HACHI-ccFe/WETH-6Cc2 0.003,HACHI-ccFe/WETH-6Cc2,uniswap_v2,0.003,0.003,0x006Ab11E89e7246CB8c0F7BdAa8C2713374b1676,,0x2a7e415C169cE3a580c6F374Dc26f6Aaad1EccFe,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,HACHI-ccFe,WETH-6Cc2,18.0,18.0,3,HACHI,WETH,,,,,,,
21264702-f695-4967-9629-f3349534d101,2023-05-06 19:38:48.236974,0,uniswap_v2 BMI-E688/WETH-6Cc2 0.003,BMI-E688/WETH-6Cc2,uniswap_v2,0.003,0.003,0xa9Bd7EEF0c7AfFbdBDAE92105712E9Ff8b06Ed49,,0x725C263e32c72dDC3A19bEa12C5a0479a81eE688,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BMI-E688,WETH-6Cc2,18.0,18.0,3,BMI,WETH,,,,,,,
213379d1-44bd-4706-8ebe-07866c7a0674,2023-05-06 19:47:23.580754,0,uniswap_v2 WETH-6Cc2/SEEN-Fd33 0.003,WETH-6Cc2/SEEN-Fd33,uniswap_v2,0.003,0.003,0x005e5840FD5a4B47a4AC6AcbCD887cF414A94944,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xCa3FE04C7Ee111F0bbb02C328c699226aCf9Fd33,WETH-6Cc2,SEEN-Fd33,18.0,18.0,3,WETH,SEEN,,,,,,,
21379bf2-a1d8-4f61-b66b-72c002eac732,2023-05-06 19:05:07.209967,17281970,uniswap_v3 HEX-eb39/ICSA-69ed 10000,HEX-eb39/ICSA-69ed,uniswap_v3,10000.0,0.01,0x82de4Db279Ce9b7D8494aF416671EA9B6134ad03,,0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,0xfc4913214444aF5c715cc9F7b52655e788A569ed,HEX-eb39,ICSA-69ed,8.0,9.0,4,HEX,ICSA,15:35:01,,,271453970030815,107467838616285564900551401215,6097.0,
21395eda-4544-4f45-8ac1-7980c2f6632b,2023-05-06 19:26:25.064397,0,uniswap_v2 BAG-5726/WETH-6Cc2 0.003,BAG-5726/WETH-6Cc2,uniswap_v2,0.003,0.003,0xC15e41eB55Af2c0F7c34fb150a688F672D4B1BE2,,0x235C8EE913d93c68D2902a8e0b5a643755705726,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BAG-5726,WETH-6Cc2,18.0,18.0,3,BAG,WETH,,,,,,,
