cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange
,,0.0,uniswap_v2 TRUMP-6748/WETH-6Cc2 0.003,TRUMP-6748/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x8ae95096DdF32d0212a7e491F76e834A5DDb54FC,,0x7c84d7E3829e004a49204d650883697BC7f06748,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TRUMP-6748,WETH-6Cc2,18.0,18.0,,TRUMP,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TRUST-6c0F/WETH-6Cc2 0.003,TRUST-6c0F/WETH-6Cc2,uniswap_v2,3000.0,0.003,0xe8Afdd2091B2247eF2C2d17F1f6CdA2418Dc84cC,,0x22A89b2C62D3096796a4f23DBAffC65f798E6c0F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TRUST-6c0F,WETH-6Cc2,9.0,18.0,,TRUST,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TRUST-D6c5/WETH-6Cc2 0.003,TRUST-D6c5/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x3D6Bbd63AD5946e1566477077bCd0fF058114e80,,0x57700244B20f84799a31c6C96DadFF373ca9D6c5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TRUST-D6c5,WETH-6Cc2,18.0,18.0,,TRUST,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TRUTH-cd53/WETH-6Cc2 0.003,TRUTH-cd53/WETH-6Cc2,uniswap_v2,3000.0,0.003,0xc1d93Fd8AaF76b17781bFdd5A1CB09ca5Ce72c13,,0xAF75d880b3128981D1fEd3292Fc02E3FB37Acd53,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TRUTH-cd53,WETH-6Cc2,9.0,18.0,,TRUTH,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TRXC-7d8e/WETH-6Cc2 0.003,TRXC-7d8e/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x034Ac58393eCc9A687ce56527d617AC5661d3e97,,0xaD5Fe5B0B8eC8fF4565204990E4405B2Da117d8e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TRXC-7d8e,WETH-6Cc2,0.0,18.0,3.0,TRXC,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TST-9B53/WETH-6Cc2 0.003,TST-9B53/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x64add8B9DaA3796e81a0D8C2C6aa0C6990862293,,0xa0b93B9e90aB887E53F9FB8728c009746e989B53,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TST-9B53,WETH-6Cc2,18.0,18.0,3.0,TST,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TSX-9Bfd/WETH-6Cc2 0.003,TSX-9Bfd/WETH-6Cc2,uniswap_v2,3000.0,0.003,0xDAB052F73F9439b27E818ef187bDd3c49D34487a,,0x734C90044a0bA31B3F2e640c10dC5d3540499Bfd,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TSX-9Bfd,WETH-6Cc2,18.0,18.0,3.0,TSX,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TUBBIES-89cA/WETH-6Cc2 0.003,TUBBIES-89cA/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x181A2242dEb0790A8aFFC75Bc8C7ff21649691bd,,0x3710D3EDBdD6dE0b946d7b76E8cFbC54806689cA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TUBBIES-89cA,WETH-6Cc2,18.0,18.0,,TUBBIES,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TUF-c8f1/WETH-6Cc2 0.003,TUF-c8f1/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x7a1080fb2ee96759f597B55BC3616b7C6516743D,,0x6f8b23296394d20eC048FbDec8eBc0CA90f5c8f1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TUF-c8f1,WETH-6Cc2,18.0,18.0,3.0,TUF,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TUMB-b2f1/WETH-6Cc2 0.003,TUMB-b2f1/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x42e0Ef1f9B7B7aFE54A647f5242F6F3b5cF008d8,,0x8F5dc452C73B1E4DCb1004345975D4Cecf5Ab2f1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TUMB-b2f1,WETH-6Cc2,18.0,18.0,,TUMB,WETH,,,,,,,60.0,uniswap_v2
